"Numéro";"Idren";"N° de Renard";"Saison";"Date";"saisonreprod";"GIC";"Lieu-Dit";"Communes";"id-SIG";"Poids";"Sexe";"Mode de Prél";"Allait Fdc";"Nbre d'Emb Fdc";"Prél Utérus";"Phase pré-implantatoire";"Nbre d'Emb";"Nbre de Cicat Année n";"Nbre de Resorp -tions";"Nbre de Cicat Année n-1";"Nbre de corps jaunes";"Prél Dent";"N° Mat";"Agedents";"Prél Yeux";"Age";"moisp"
65;"D0FI0";"I    0";"2000/2001";30/11/2000 00:00:00;0;"D";"La Jaille";"SAINT ARMEL";;;"F";"P";"N";;"N";;;;;;;"N";;;;;11
66;"D0FI1";"I    1";"2000/2001";30/11/2000 00:00:00;0;"D";"Le Val au Croyal n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;11
165;"D0FI100";"I    100";"2000/2001";10/1/2001 00:00:00;0;"D";"Les tesnière";"TORCE";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
166;"D0FI101";"I    101";"2000/2001";10/1/2001 00:00:00;0;"D";"Les epinays";"DOMAGNE";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
177;"D0FI111";"I    111";"2000/2001";11/1/2001 00:00:00;0;"D";"La hardouillère";"DOMAGNE";;6.40;"F";"P";"N";;"N";;;;;;;"N";;;;;1
159;"D0FI112";"I    112";"2000/2001";9/1/2001 00:00:00;0;"D";"La pochardière";"DOMAGNE";;5.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
173;"D0FI113";"I    113";"2000/2001";10/1/2001 00:00:00;0;"D";"Loseillere";"CHATEAUBOURG";;6.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
178;"D0FI114";"I    114";"2000/2001";12/1/2001 00:00:00;0;"D";"Le chene d et";"DOMAGNE";;6.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
179;"D0FI115";"I    115";"2000/2001";12/1/2001 00:00:00;0;"D";"Hil barras n";"NOYAL SUR VILAINE";;5.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
181;"D0FI117";"I    117";"2000/2001";13/1/2001 00:00:00;0;"D";"Nantillère";"OSSE";;5.20;"F";"P";"N";;"N";;;;;;;"N";;;;;1
83;"D0FI12";"I    12";"2000/2001";12/12/2000 00:00:00;0;"D";"La Roche";"CHATEAUGIRON";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
185;"D0FI121";"I    121";"2000/2001";13/1/2001 00:00:00;0;"D";"La peltrie";"DOMAGNE";;7.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
201;"D0FI130";"I    130";"2000/2001";18/1/2001 00:00:00;0;"D";"La basse neuville";"DOMAGNE";;6.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
192;"D0FI136";"I    136";"2000/2001";16/1/2001 00:00:00;0;"D";"Beauvais";"SAINT DIDIER";;8.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
193;"D0FI137";"I    137";"2000/2001";16/1/2001 00:00:00;0;"D";"La motte";"TORCE";;6.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
202;"D0FI139";"I    139";"2000/2001";18/1/2001 00:00:00;0;"D";"Le gace";"SAINT AUBIN DU PAVAIL";;5.20;"F";"P";"N";;"N";;;;;;;"N";;;;;1
85;"D0FI14";"I    14";"2000/2001";12/12/2000 00:00:00;0;"D";"La Richardière n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
214;"D0FI142";"I    142";"2000/2001";23/1/2001 00:00:00;0;"D";"La foucheraie";"ESSE";;6.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
208;"D0FI146";"I    146";"2000/2001";21/1/2001 00:00:00;0;"D";"Galache";"ESSE";;7.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
217;"D0FI149";"I    149";"2000/2001";23/1/2001 00:00:00;0;"D";"Le champ gaté";"ESSE";;6.30;"F";"P";"N";;"N";;;;;;;"N";;;;;1
209;"D0FI151";"I    151";"2000/2001";21/1/2001 00:00:00;0;"D";"La roche au fées";"ESSE";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
210;"D0FI152";"I    152";"2000/2001";21/1/2001 00:00:00;0;"D";"La motte";"TORCE";;5.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
213;"D0FI153";"I    153";"2000/2001";22/1/2001 00:00:00;0;"D";"La pilière";"ESSE";;5.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
219;"D0FI154";"I    154";"2000/2001";23/1/2001 00:00:00;0;"D";"Galache";"ESSE";;7.10;"F";"P";"N";;"N";;;;;;;"N";;;;;1
206;"D0FI158";"I    158";"2000/2001";20/1/2001 00:00:00;0;"D";"Tayé p";"PIRE SUR SEICHE";;7.00;"F";"C";"N";;"N";;;;;;;"N";;;;;1
222;"D0FI159";"I    159";"2000/2001";24/1/2001 00:00:00;0;"D";"Tayé";"SAINT AUBIN DU PAVAIL";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
223;"D0FI160";"I    160";"2000/2001";24/1/2001 00:00:00;0;"D";"Les grands champs";"PIRE SUR SEICHE";;5.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
224;"D0FI161";"I    161";"2000/2001";24/1/2001 00:00:00;0;"D";"La mazardière";"PIRE SUR SEICHE";;5.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
230;"D0FI162";"I    162";"2000/2001";25/1/2001 00:00:00;0;"D";"Tayé";"SAINT AUBIN DU PAVAIL";;5.80;"F";"P";"N";;"N";;;;;;;"N";;;;;1
225;"D0FI163";"I    163";"2000/2001";24/1/2001 00:00:00;0;"D";"Las jambe";"ESSE";;6.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
127;"D0FI165";"I    165";"2000/2001";31/12/2000 00:00:00;0;"D";"Launay n";"NOYAL SUR VILAINE";;6.00;"F";"P";"N";;"N";;;;;;;"N";;;;;12
227;"D0FI166";"I    166";"2000/2001";24/1/2001 00:00:00;0;"D";"La bichère";"ESSE";;5.80;"F";"P";"N";;"N";;;;;;;"N";;;;;1
228;"D0FI167";"I    167";"2000/2001";24/1/2001 00:00:00;0;"D";"La giffardière";"ESSE";;7.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
232;"D0FI170";"I    170";"2000/2001";25/1/2001 00:00:00;0;"D";"La haute coudre";"ESSE";;4.90;"F";"P";"N";;"N";;;;;;;"N";;;;;1
233;"D0FI171";"I    171";"2000/2001";25/1/2001 00:00:00;0;"D";"La coudre e";"ESSE";;6.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
235;"D0FI173";"I    173";"2000/2001";26/1/2001 00:00:00;0;"D";"La métairie neuve";"PIRE SUR SEICHE";;5.80;"F";"P";"N";;"N";;;;;;;"N";;;;;1
261;"D0FI175";"I    175";"2000/2001";28/1/2001 00:00:00;0;"D";"Loriais";"PIRE SUR SEICHE";;6.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
262;"D0FI176";"I    176";"2000/2001";28/1/2001 00:00:00;0;"D";"Changeon";"PIRE SUR SEICHE";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
237;"D0FI177";"I    177";"2000/2001";26/1/2001 00:00:00;0;"D";"Linelière";"BOISTRUDAN";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
238;"D0FI178";"I    178";"2000/2001";26/1/2001 00:00:00;0;"D";"Lézé";"PIRE SUR SEICHE";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
92;"D0FI18";"I    18";"2000/2001";17/12/2000 00:00:00;0;"D";"Jussé n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
250;"D0FI181";"I    181";"2000/2001";27/1/2001 00:00:00;0;"D";"La tremblais";"ESSE";;5.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
253;"D0FI186";"I    186";"2000/2001";27/1/2001 00:00:00;0;"D";"La chouanière";"BOISTRUDAN";;5.80;"F";"P";"N";;"N";;;;;;;"N";;;;;1
241;"D0FI188";"I    188";"2000/2001";26/1/2001 00:00:00;0;"D";"Monhunault";"PIRE SUR SEICHE";;6.20;"F";"P";"N";;"N";;;;;;;"N";;;;;1
255;"D0FI190";"I    190";"2000/2001";27/1/2001 00:00:00;0;"D";"La vielle cour";"BOISTRUDAN";;5.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
242;"D0FI191";"I    191";"2000/2001";26/1/2001 00:00:00;0;"D";"La maudayais";"BOISTRUDAN";;5.20;"F";"P";"N";;"N";;;;;;;"N";;;;;1
244;"D0FI193";"I    193";"2000/2001";26/1/2001 00:00:00;0;"D";"La closerie p";"PIRE SUR SEICHE";;5.40;"F";"P";"N";;"N";;;;;;;"N";;;;;1
265;"D0FI195";"I    195";"2000/2001";28/1/2001 00:00:00;0;"D";"Mesneuf";"SAINT DIDIER";;5.20;"F";"P";"N";;"N";;;;;;;"N";;;;;1
256;"D0FI196";"I    196";"2000/2001";27/1/2001 00:00:00;0;"D";"Crevan";"PIRE SUR SEICHE";;5.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
258;"D0FI199";"I    199";"2000/2001";27/1/2001 00:00:00;0;"D";"Le haut freux";"BOISTRUDAN";;5.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
67;"D0FI2";"I    2";"2000/2001";30/11/2000 00:00:00;0;"D";"La Rodais";"CHATEAUGIRON";;;"F";"P";"N";;"N";;;;;;;"N";;;;;11
88;"D0FI20";"I    20";"2000/2001";13/12/2000 00:00:00;0;"D";"Les Penthières";"DOMAGNE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
259;"D0FI204";"I    204";"2000/2001";27/1/2001 00:00:00;0;"D";"La lande de taille";"BOISTRUDAN";;5.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
248;"D0FI205";"I    205";"2000/2001";26/1/2001 00:00:00;0;"D";"La closerie p";"PIRE SUR SEICHE";;6.10;"F";"P";"N";;"N";;;;;;;"N";;;;;1
260;"D0FI208";"I    208";"2000/2001";27/1/2001 00:00:00;0;"D";"Tayé";"SAINT AUBIN DU PAVAIL";;5.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
271;"D0FI214";"I    214";"2000/2001";29/1/2001 00:00:00;0;"D";"Lézé";"PIRE SUR SEICHE";;6.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
278;"D0FI217";"I    217";"2000/2001";30/1/2001 00:00:00;0;"D";"La nachardière";"ESSE";;7.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
273;"D0FI219";"I    219";"2000/2001";29/1/2001 00:00:00;0;"D";"Tayé";"SAINT AUBIN DU PAVAIL";;5.00;"F";"P";"N";;"N";;;;;;;"A";".";"0";;1;1
93;"D0FI22";"I    22";"2000/2001";17/12/2000 00:00:00;0;"D";"Les Hautes Vignes d";"DOMLOUP";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
274;"D0FI222";"I    222";"2000/2001";29/1/2001 00:00:00;0;"D";"La bestinière";"SAINT DIDIER";;5.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
281;"D0FI223";"I    223";"2000/2001";30/1/2001 00:00:00;0;"D";"Tayé";"SAINT AUBIN DU PAVAIL";;5.80;"F";"P";"N";;"N";;;;;;;"A";".";"0";;1;1
234;"D0FI226";"I    226";"2000/2001";25/1/2001 00:00:00;0;"D";"Les bouffes";"PIRE SUR SEICHE";;6.40;"F";"P";"N";;"N";;;;;;;"N";;;;;1
115;"D0FI25";"I    25";"2000/2001";26/12/2000 00:00:00;0;"D";"Les Giqueslières";"DOMLOUP";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
103;"D0FI28";"I    28";"2000/2001";21/12/2000 00:00:00;0;"D";"Les Closeaux n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
107;"D0FI29";"I    29";"2000/2001";23/12/2000 00:00:00;0;"D";"La Planche au Godet";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
109;"D0FI30";"I    30";"2000/2001";24/12/2000 00:00:00;0;"D";"La Derre n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
110;"D0FI31";"I    31";"2000/2001";24/12/2000 00:00:00;0;"D";"Beauchêne n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
114;"D0FI33";"I    33";"2000/2001";25/12/2000 00:00:00;0;"D";"La Richardière n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
112;"D0FI35";"I    35";"2000/2001";24/12/2000 00:00:00;0;"D";"Les Noës d";"DOMLOUP";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
117;"D0FI36";"I    36";"2000/2001";26/12/2000 00:00:00;0;"D";"Les Giqueslières";"DOMLOUP";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
124;"D0FI39";"I    39";"2000/2001";29/12/2000 00:00:00;0;"D";"La Tertrais n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
126;"D0FI40";"I    40";"2000/2001";30/12/2000 00:00:00;0;"D";"Loizil";"DOMLOUP";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
86;"D0FI45";"I    45";"2000/2001";12/12/2000 00:00:00;0;"D";"Les Closeaux n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
77;"D0FI47";"I    47";"2000/2001";9/12/2000 00:00:00;0;"D";"Le Val au Croyal n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
100;"D0FI48";"I    48";"2000/2001";19/12/2000 00:00:00;0;"D";"Le Val au Croyal n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
73;"D0FI5";"I    5";"2000/2001";8/12/2000 00:00:00;0;"D";"Les Closeaux n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
96;"D0FI51";"I    51";"2000/2001";18/12/2000 00:00:00;0;"D";"La Richardière n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
106;"D0FI52";"I    52";"2000/2001";22/12/2000 00:00:00;0;"D";"La Richardière n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
113;"D0FI54";"I    54";"2000/2001";24/12/2000 00:00:00;0;"D";"Gervis n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
121;"D0FI55";"I    55";"2000/2001";28/12/2000 00:00:00;0;"D";"La Coudre";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
71;"D0FI56";"I    56";"2000/2001";7/12/2000 00:00:00;0;"D";"La Valette";"DOMAGNE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
78;"D0FI59";"I    59";"2000/2001";9/12/2000 00:00:00;0;"D";"La Déroterie";"DOMAGNE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
75;"D0FI6";"I    6";"2000/2001";8/12/2000 00:00:00;0;"D";"La Morihannais n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
87;"D0FI60";"I    60";"2000/2001";12/12/2000 00:00:00;0;"D";"La Lande Barléot";"DOMAGNE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
125;"D0FI63";"I    63";"2000/2001";29/12/2000 00:00:00;0;"D";"Homelais";"OSSE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
128;"D0FI64";"I    64";"2000/2001";31/12/2000 00:00:00;0;"D";"Lourme";"DOMAGNE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
129;"D0FI65";"I    65";"2000/2001";31/12/2000 00:00:00;0;"D";"La hardouillère";"DOMAGNE";;7.20;"F";"P";"N";;"N";;;;;;;"N";;;;;12
134;"D0FI67";"I    67";"2000/2001";1/1/2001 00:00:00;0;"D";"Les epinays";"DOMAGNE";;6.80;"F";"P";"N";;"N";;;;;;;"N";;;;;1
139;"D0FI71";"I    71";"2000/2001";2/1/2001 00:00:00;0;"D";"Vielle oreille";"CHANTEPIE";;7.20;"F";"P";"N";;"N";;;;;;;"N";;;;;1
137;"D0FI73";"I    73";"2000/2001";1/1/2001 00:00:00;0;"D";"Le champ d eu";"OSSE";;5.90;"F";"P";"N";;"N";;;;;;;"N";;;;;1
132;"D0FI74";"I    74";"2000/2001";31/12/2000 00:00:00;0;"D";"La deshalais";"OSSE";;5.90;"F";"P";"N";;"N";;;;;;;"N";;;;;12
143;"D0FI79";"I    79";"2000/2001";5/1/2001 00:00:00;0;"D";"La peltrie";"DOMAGNE";;6.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
79;"D0FI8";"I    8";"2000/2001";9/12/2000 00:00:00;0;"D";"La Morihannais n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
144;"D0FI80";"I    80";"2000/2001";5/1/2001 00:00:00;0;"D";"Vielle oreille";"CHANTEPIE";;7.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
147;"D0FI83";"I    83";"2000/2001";5/1/2001 00:00:00;0;"D";"Beaujardin";"CHATEAUGIRON";;6.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
153;"D0FI87";"I    87";"2000/2001";7/1/2001 00:00:00;0;"D";"Les pigneaux";"DOMAGNE";;6.90;"F";"P";"N";;"N";;;;;;;"N";;;;;1
155;"D0FI89";"I    89";"2000/2001";7/1/2001 00:00:00;0;"D";"Le champ d eu";"OSSE";;5.30;"F";"P";"N";;"N";;;;;;;"N";;;;;1
80;"D0FI9";"I    9";"2000/2001";10/12/2000 00:00:00;0;"D";"Les Closeaux n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
157;"D0FI91";"I    91";"2000/2001";8/1/2001 00:00:00;0;"D";"Vielle oreille";"CHANTEPIE";;6.30;"F";"P";"N";;"N";;;;;;;"N";;;;;1
161;"D0FI94";"I    94";"2000/2001";9/1/2001 00:00:00;0;"D";"La pochardière";"DOMAGNE";;4.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
162;"D0FI95";"I    95";"2000/2001";9/1/2001 00:00:00;0;"D";"Faire valoir";"TORCE";;5.20;"F";"P";"N";;"N";;;;;;;"N";;;;;1
164;"D0FI97";"I    97";"2000/2001";9/1/2001 00:00:00;0;"D";"Les tesnière";"TORCE";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
175;"D0FI99";"I    99";"2000/2001";10/1/2001 00:00:00;0;"D";"Faire valoir";"TORCE";;6.80;"F";"P";"N";;"N";;;;;;;"N";;;;;1
1;"D0Fx1";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"BOISTRUDAN";;;"F";"D";;;"N";;;;;;;"N";;"A";;;4
10;"D0Fx10";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"DOMAGNE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
11;"D0Fx11";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"DOMAGNE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
12;"D0Fx12";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"DOMAGNE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
13;"D0Fx13";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"DOMAGNE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
14;"D0Fx14";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"DOMAGNE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
15;"D0Fx15";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"DOMAGNE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
25;"D0Fx25";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"ESSE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
32;"D0Fx32";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"LOUVIGNE DE BAIS";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
33;"D0Fx33";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"LOUVIGNE DE BAIS";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
34;"D0Fx34";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"LOUVIGNE DE BAIS";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
35;"D0Fx35";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"LOUVIGNE DE BAIS";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
36;"D0Fx36";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"LOUVIGNE DE BAIS";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
37;"D0Fx37";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"LOUVIGNE DE BAIS";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
38;"D0Fx38";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"LOUVIGNE DE BAIS";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
39;"D0Fx39";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"LOUVIGNE DE BAIS";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
4;"D0Fx4";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"BOISTRUDAN";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
40;"D0Fx40";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"LOUVIGNE DE BAIS";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
45;"D0Fx45";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"NOYAL SUR VILAINE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
46;"D0Fx46";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"NOYAL SUR VILAINE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
47;"D0Fx47";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"NOYAL SUR VILAINE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
48;"D0Fx48";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"NOYAL SUR VILAINE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
49;"D0Fx49";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"NOYAL SUR VILAINE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
50;"D0Fx50";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"NOYAL SUR VILAINE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
60;"D0Fx60";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"PIRE SUR SEICHE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
61;"D0Fx61";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"PIRE SUR SEICHE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
62;"D0Fx62";"x";"2000/2001";30/4/2000 00:00:00;0;"D";;"PIRE SUR SEICHE";;;"F";"D";;;"N";;;;;;;"N";;"0";;0;4
81;"D0MI10";"I    10";"2000/2001";11/12/2000 00:00:00;0;"D";"La Richardière n";"NOYAL SUR VILAINE";;;"M";"P";;;;;;;;;;"N";;;;;12
167;"D0MI102";"I    102";"2000/2001";10/1/2001 00:00:00;0;"D";"La pochardière";"DOMAGNE";;6.90;"M";"P";;;;;;;;;;"N";;;;;1
168;"D0MI103";"I    103";"2000/2001";10/1/2001 00:00:00;0;"D";"La basse pilais";"CHANTEPIE";;5.60;"M";"P";;;;;;;;;;"N";;;;;1
169;"D0MI104";"I    104";"2000/2001";10/1/2001 00:00:00;0;"D";"La garenne";"LOUVIGNE DE BAIS";;7.80;"M";"P";;;;;;;;;;"N";;;;;1
170;"D0MI105";"I    105";"2000/2001";10/1/2001 00:00:00;0;"D";"Le bois d y";"LOUVIGNE DE BAIS";;7.00;"M";"P";;;;;;;;;;"N";;;;;1
171;"D0MI106";"I    106";"2000/2001";10/1/2001 00:00:00;0;"D";"Le bourg l";"LOUVIGNE DE BAIS";;7.50;"M";"P";;;;;;;;;;"N";;;;;1
172;"D0MI107";"I    107";"2000/2001";10/1/2001 00:00:00;0;"D";"La haie margat";"CHATEAUBOURG";;7.20;"M";"P";;;;;;;;;;"N";;;;;1
176;"D0MI109";"I    109";"2000/2001";11/1/2001 00:00:00;0;"D";"Vielle oreille";"CHANTEPIE";;5.60;"M";"P";;;;;;;;;;"N";;;;;1
82;"D0MI11";"I    11";"2000/2001";11/12/2000 00:00:00;0;"D";"La Morihannais n";"NOYAL SUR VILAINE";;;"M";"P";;;;;;;;;;"N";;;;;12
150;"D0MI110";"I    110";"2000/2001";7/1/2001 00:00:00;0;"D";"Les Noës d";"DOMLOUP";;6.50;"M";"P";;;;;;;;;;"N";;;;;1
180;"D0MI116";"I    116";"2000/2001";12/1/2001 00:00:00;0;"D";"La closerie";"LOUVIGNE DE BAIS";;9.00;"M";"P";;;;;;;;;;"N";;;;;1
182;"D0MI118";"I    118";"2000/2001";13/1/2001 00:00:00;0;"D";"Les basses tesnière";"TORCE";;7.80;"M";"P";;;;;;;;;;"N";;;;;1
183;"D0MI119";"I    119";"2000/2001";13/1/2001 00:00:00;0;"D";"Le haut plessix";"DOMAGNE";;6.50;"M";"P";;;;;;;;;;"N";;;;;1
184;"D0MI120";"I    120";"2000/2001";13/1/2001 00:00:00;0;"D";"Ville bretelle";"OSSE";;7.00;"M";"P";;;;;;;;;;"N";;;;;1
189;"D0MI122";"I    122";"2000/2001";14/1/2001 00:00:00;0;"D";"Le petit maimbier";"TORCE";;7.00;"M";"P";;;;;;;;;;"N";;;;;1
186;"D0MI123";"I    123";"2000/2001";13/1/2001 00:00:00;0;"D";"Laubourgère";"DOMAGNE";;7.50;"M";"P";;;;;;;;;;"N";;;;;1
187;"D0MI124";"I    124";"2000/2001";13/1/2001 00:00:00;0;"D";"La maillardière";"TORCE";;7.00;"M";"P";;;;;;;;;;"N";;;;;1
188;"D0MI125";"I    125";"2000/2001";13/1/2001 00:00:00;0;"D";"Le champ normand";"AMANLIS";;7.00;"M";"C";;;;;;;;;;"N";;;;;1
199;"D0MI126";"I    126";"2000/2001";18/1/2001 00:00:00;0;"D";"La lantillère";"LOUVIGNE DE BAIS";;7.00;"M";"P";;;;;;;;;;"N";;;;;1
200;"D0MI127";"I    127";"2000/2001";18/1/2001 00:00:00;0;"D";"Le petit maimbier";"TORCE";;6.80;"M";"P";;;;;;;;;;"N";;;;;1
203;"D0MI128";"I    128";"2000/2001";19/1/2001 00:00:00;0;"D";"Loseillere";"CHATEAUBOURG";;8.50;"M";"P";;;;;;;;;;"N";;;;;1
190;"D0MI129";"I    129";"2000/2001";15/1/2001 00:00:00;0;"D";"La doubrie";"LOUVIGNE DE BAIS";;7.00;"M";"P";;;;;;;;;;"N";;;;;1
84;"D0MI13";"I    13";"2000/2001";12/12/2000 00:00:00;0;"D";"La Morihannais n";"NOYAL SUR VILAINE";;;"M";"P";;;;;;;;;;"N";;;;;12
195;"D0MI131";"I    131";"2000/2001";17/1/2001 00:00:00;0;"D";"La valtais";"TORCE";;6.00;"M";"P";;;;;;;;;;"N";;;;;1
204;"D0MI132";"I    132";"2000/2001";19/1/2001 00:00:00;0;"D";"Mesneuf";"SAINT DIDIER";;6.00;"M";"P";;;;;;;;;;"N";;;;;1
196;"D0MI134";"I    134";"2000/2001";17/1/2001 00:00:00;0;"D";"La chesnais";"DOMAGNE";;6.00;"M";"P";;;;;;;;;;"N";;;;;1
