"Parameter","Year","Age","ParamName","median","lCI","uCI"
"Reindeer[13]",2016,NA,"Reindeer",-0.287349959328872,-0.287349959328872,-0.287349959328872
"Reindeer[14]",2017,NA,"Reindeer",-0.645432216338696,-0.645432216338696,-0.645432216338696
"Reindeer[15]",2018,NA,"Reindeer",-0.60564529889316,-0.60564529889316,-0.60564529889316
"Reindeer[16]",2019,NA,"Reindeer",0.70732297680953,0.70732297680953,0.70732297680953
"Reindeer[17]",2020,NA,"Reindeer",-1.32180981291281,-1.32180981291281,-1.32180981291281
"Reindeer[18]",2021,NA,"Reindeer",1.38370057338364,1.38370057338364,1.38370057338364
"Reindeer[19]",2022,NA,"Reindeer",0.00331051172710053,-1.94716657609948,1.94776634915797
"Reindeer[1]",2004,NA,"Reindeer",-1.36159673035835,-1.36159673035835,-1.36159673035835
"Reindeer[2]",2005,NA,"Reindeer",-0.764792968675305,-0.764792968675305,-0.764792968675305
"Reindeer[3]",2006,NA,"Reindeer",0.906257564037211,0.906257564037211,0.906257564037211
"Reindeer[4]",2007,NA,"Reindeer",0.110519215126489,0.110519215126489,0.110519215126489
"Reindeer[5]",2008,NA,"Reindeer",-0.764792968675305,-0.764792968675305,-0.764792968675305
"Reindeer[6]",2009,NA,"Reindeer",0.667536059363994,0.667536059363994,0.667536059363994
"Reindeer[7]",2010,NA,"Reindeer",1.38370057338364,1.38370057338364,1.38370057338364
"Reindeer[8]",2011,NA,"Reindeer",-0.526071464002088,-0.526071464002088,-0.526071464002088
"Reindeer[9]",2012,NA,"Reindeer",1.34391365593811,1.34391365593811,1.34391365593811
"RodentAbundance2[10]",2013,"1","RodentAbundance2",-1.20875065899514,-1.20875065899514,-1.20875065899514
"RodentAbundance2[11]",2014,"1","RodentAbundance2",0.608696198633634,0.608696198633634,0.608696198633634
"RodentAbundance2[12]",2015,"1","RodentAbundance2",2.14542830616711,2.14542830616711,2.14542830616711
"RodentAbundance2[13]",2016,"1","RodentAbundance2",-0.210279284003137,-0.210279284003137,-0.210279284003137
"RodentAbundance2[14]",2017,"1","RodentAbundance2",-1.48457559220245,-1.48457559220245,-1.48457559220245
"RodentAbundance2[15]",2018,"1","RodentAbundance2",0.875782096417243,0.875782096417243,0.875782096417243
"RodentAbundance2[16]",2019,"1","RodentAbundance2",0.402760331855949,0.402760331855949,0.402760331855949
"RodentAbundance2[17]",2020,"1","RodentAbundance2",-0.743402233909536,-0.743402233909536,-0.743402233909536
"RodentAbundance2[18]",2021,"1","RodentAbundance2",-1.47021819025927,-1.47021819025927,-1.47021819025927
"RodentAbundance2[19]",2022,"1","RodentAbundance2",0.647333494217852,0.647333494217852,0.647333494217852
"RodentAbundance2[1]",2004,"1","RodentAbundance2",-0.977876752082789,-0.977876752082789,-0.977876752082789
"RodentAbundance2[2]",2005,"1","RodentAbundance2",-0.99768513461663,-0.99768513461663,-0.99768513461663
"RodentAbundance2[3]",2006,"1","RodentAbundance2",-0.581148144314441,-0.581148144314441,-0.581148144314441
"RodentAbundance2[4]",2007,"1","RodentAbundance2",3.44318634150049,3.44318634150049,3.44318634150049
"RodentAbundance2[5]",2008,"1","RodentAbundance2",-1.71383300579968,-1.71383300579968,-1.71383300579968
"RodentAbundance2[6]",2009,"1","RodentAbundance2",-1.74530305120147,-1.74530305120147,-1.74530305120147
"RodentAbundance2[7]",2010,"1","RodentAbundance2",0.418592461788054,0.418592461788054,0.418592461788054
"RodentAbundance2[8]",2011,"1","RodentAbundance2",3.78886687424459,3.78886687424459,3.78886687424459
"RodentAbundance2[9]",2012,"1","RodentAbundance2",-1.19757405744038,-1.19757405744038,-1.19757405744038
"RodentAbundance[10]",2013,NA,"RodentAbundance",-0.856554593192615,-0.856554593192615,-0.856554593192615
"RodentAbundance[11]",2014,NA,"RodentAbundance",-0.786720504517304,-0.786720504517304,-0.786720504517304
"RodentAbundance[12]",2015,NA,"RodentAbundance",0.867124963917656,0.867124963917656,0.867124963917656
"RodentAbundance[13]",2016,NA,"RodentAbundance",0.224822328745094,0.224822328745094,0.224822328745094
"RodentAbundance[14]",2017,NA,"RodentAbundance",-0.980832354391582,-0.980832354391582,-0.980832354391582
"RodentAbundance[15]",2018,NA,"RodentAbundance",-0.614990145951601,-0.614990145951601,-0.614990145951601
"RodentAbundance[16]",2019,NA,"RodentAbundance",0.715636381766976,0.715636381766976,0.715636381766976
"RodentAbundance[17]",2020,NA,"RodentAbundance",-0.130695073080429,-0.130695073080429,-0.130695073080429
"RodentAbundance[18]",2021,NA,"RodentAbundance",-1.16931781178366,-1.16931781178366,-1.16931781178366
"RodentAbundance[19]",2022,NA,"RodentAbundance",-0.679155622299702,-0.679155622299702,-0.679155622299702
"RodentAbundance[1]",2004,NA,"RodentAbundance",0.0164561497352944,-1.82588869684059,1.90112084045044
"RodentAbundance[20]",2023,NA,"RodentAbundance",0,0,0
"RodentAbundance[2]",2005,NA,"RodentAbundance",-1.0268832233751,-1.0268832233751,-1.0268832233751
"RodentAbundance[3]",2006,NA,"RodentAbundance",-0.336879811584235,-0.336879811584235,-0.336879811584235
"RodentAbundance[4]",2007,NA,"RodentAbundance",0.356919203362483,0.356919203362483,0.356919203362483
"RodentAbundance[5]",2008,NA,"RodentAbundance",0.724594912082859,0.724594912082859,0.724594912082859
"RodentAbundance[6]",2009,NA,"RodentAbundance",-1.54681104514572,-1.54681104514572,-1.54681104514572
"RodentAbundance[7]",2010,NA,"RodentAbundance",-0.87016531314822,-0.87016531314822,-0.87016531314822
"RodentAbundance[8]",2011,NA,"RodentAbundance",4.0822707417241,4.0822707417241,4.0822707417241
"RodentAbundance[9]",2012,NA,"RodentAbundance",1.77032168510579,1.77032168510579,1.77032168510579
"S[1, 10]",2013,"0","S",0.163431486079905,0.036235662730554,0.48859306998425
"S[1, 11]",2014,"0","S",0.462400688573733,0.23471785890133,0.709393821080166
"S[1, 12]",2015,"0","S",0.488636253120607,0.245610134879764,0.729815078804058
"S[1, 13]",2016,"0","S",0.3022081449081,0.126959289594989,0.664687070809203
"S[1, 14]",2017,"0","S",0.216911918799522,0.0421714871936352,0.693051369091701
"S[1, 15]",2018,"0","S",0.157274702753026,0.0198729244874084,0.454604826602648
"S[1, 16]",2019,"0","S",0.268997089119216,0.110786963642764,0.493661927235655
"S[1, 17]",2020,"0","S",0.255438943991265,0.0826796393435009,0.614671509552326
"S[1, 18]",2021,"0","S",0.31489622352968,0.0671683838164766,0.700772693889867
"S[1, 1]",2004,"0","S",0.316925138724639,0.10514311101113,0.681981250576923
"S[1, 2]",2005,"0","S",0.293095789328091,0.147966809531265,0.564878876118147
"S[1, 3]",2006,"0","S",0.375199702556573,0.177316183289183,0.611005591798952
"S[1, 4]",2007,"0","S",0.398867767468759,0.163785927955099,0.661666598245043
"S[1, 5]",2008,"0","S",0.18127287734421,0.0686679325642069,0.440670886307122
"S[1, 6]",2009,"0","S",0.312937940690329,0.134749010634238,0.681475663692878
"S[1, 7]",2010,"0","S",0.640586394167304,0.396800436525069,0.735584326221855
"S[1, 8]",2011,"0","S",0.48978522431856,0.247030682230398,0.727695174137832
"S[1, 9]",2012,"0","S",0.12158811950953,0.044731835233902,0.293240350609545
"S[2, 10]",2013,"1","S",0.494483154664969,0.257863443723468,0.672339744715733
"S[2, 11]",2014,"1","S",0.621215725019596,0.466389545801616,0.7452037649714
"S[2, 12]",2015,"1","S",0.638895978228322,0.497485532963964,0.753727057389874
"S[2, 13]",2016,"1","S",0.561956794728967,0.414749348920894,0.702874881670551
"S[2, 14]",2017,"1","S",0.580756420000476,0.302372000761881,0.755365496135885
"S[2, 15]",2018,"1","S",0.470181666358047,0.190486154394426,0.663995332058526
"S[2, 16]",2019,"1","S",0.389535707290557,0.218458816056396,0.569928886476388
"S[2, 17]",2020,"1","S",0.515260557081726,0.307359812069315,0.700512973358934
"S[2, 18]",2021,"1","S",0.548012572195297,0.27482948216629,0.733698332931478
"S[2, 1]",2004,"1","S",0.588753307951819,0.398933577933842,0.711908766998363
"S[2, 2]",2005,"1","S",0.498259626141007,0.360458261754614,0.62651483491062
"S[2, 3]",2006,"1","S",0.527822868612381,0.377351158509933,0.652143561122387
"S[2, 4]",2007,"1","S",0.590396072177316,0.423588994898908,0.706178455028683
"S[2, 5]",2008,"1","S",0.500516840197887,0.313607130325283,0.663694854046001
"S[2, 6]",2009,"1","S",0.593603112199265,0.407774486952525,0.739128944840002
"S[2, 7]",2010,"1","S",0.584669215334161,0.458183054687711,0.692262500367159
"S[2, 8]",2011,"1","S",0.636133921492899,0.491779176273814,0.743129010878009
"S[2, 9]",2012,"1","S",0.465694400893654,0.278808532414458,0.658478494093507
"S[3, 10]",2013,"2","S",0.486529081566148,0.298742991950948,0.650274901719778
"S[3, 11]",2014,"2","S",0.59174213750828,0.42571456429667,0.724820968422484
"S[3, 12]",2015,"2","S",0.608625262143346,0.455947714716266,0.737896031030103
"S[3, 13]",2016,"2","S",0.536505569767574,0.356888322924801,0.689349788123737
"S[3, 14]",2017,"2","S",0.585174966618039,0.392196384140732,0.74446019061161
"S[3, 15]",2018,"2","S",0.470617477237624,0.215028645492601,0.654272096272828
"S[3, 16]",2019,"2","S",0.349359124830638,0.157508656279647,0.551361798383335
"S[3, 17]",2020,"2","S",0.498191478903447,0.282549294412603,0.678988696471825
"S[3, 18]",2021,"2","S",0.520414774026405,0.242344903935485,0.715889054643126
"S[3, 1]",2004,"2","S",0.56729724159854,0.386171525825238,0.693954225202581
"S[3, 2]",2005,"2","S",0.465614055799144,0.325247992385734,0.606734603982638
"S[3, 3]",2006,"2","S",0.491764144243511,0.345161431848565,0.634337232061416
"S[3, 4]",2007,"2","S",0.561108298430224,0.408490666161415,0.688735760268934
"S[3, 5]",2008,"2","S",0.492544618814749,0.298218758374982,0.655060663767201
"S[3, 6]",2009,"2","S",0.576213893149956,0.404960373977337,0.719706823573438
"S[3, 7]",2010,"2","S",0.534844485387094,0.37927822290858,0.6648433031413
"S[3, 8]",2011,"2","S",0.609508640418894,0.475043203693794,0.722822205030793
"S[3, 9]",2012,"2","S",0.471723980820414,0.264648470083395,0.652039510746462
"S[4, 10]",2013,"3","S",0.117522288201559,0.00188220029664442,0.470295770766301
"S[4, 11]",2014,"3","S",0.32763406991896,0.0294105361886107,0.640871155476243
"S[4, 12]",2015,"3","S",0.345773998591211,0.0346149748476612,0.665992538397683
"S[4, 13]",2016,"3","S",0.211137609966352,0.00936184162097208,0.592491689696378
"S[4, 14]",2017,"3","S",0.168152642243586,0.00390488901388993,0.634579916156219
"S[4, 15]",2018,"3","S",0.10884232633469,0.00142902662816209,0.436703593634997
"S[4, 16]",2019,"3","S",0.128672701510394,0.00148739706425831,0.4135240049106
"S[4, 17]",2020,"3","S",0.17191809476677,0.00427463498807859,0.546113064700774
"S[4, 18]",2021,"3","S",0.204180711096578,0.00446563094998318,0.619133049263865
"S[4, 1]",2004,"3","S",0.233382321542491,0.0113051549474706,0.606092910166868
"S[4, 2]",2005,"3","S",0.185505849379319,0.00763880034018751,0.496740728141692
"S[4, 3]",2006,"3","S",0.235207171257045,0.0137042427399569,0.534306001594887
"S[4, 4]",2007,"3","S",0.27499567120085,0.0165057767984575,0.602340034382948
"S[4, 5]",2008,"3","S",0.131175451193237,0.00282439461745203,0.478721419945197
"S[4, 6]",2009,"3","S",0.23452200598138,0.0116435663624355,0.615228141714796
"S[4, 7]",2010,"3","S",0.387484248182257,0.0416868529286121,0.642275563615198
"S[4, 8]",2011,"3","S",0.352261302595797,0.0362568464726908,0.649955823288219
"S[4, 9]",2012,"3","S",0.0905487584934948,0.00121253852614409,0.400545593781365
"S[5, 10]",2013,"4+","S",0.618414182485293,0.41622902400978,0.786616751705697
"S[5, 11]",2014,"4+","S",0.673804120434219,0.487803696826801,0.817570184435237
"S[5, 12]",2015,"4+","S",0.68849350995684,0.518298178664566,0.819042160343486
"S[5, 13]",2016,"4+","S",0.641215233843879,0.451436608748689,0.791443332231754
"S[5, 14]",2017,"4+","S",0.70659521623407,0.519438896639071,0.836413230033691
"S[5, 15]",2018,"4+","S",0.609196403247583,0.438063598909472,0.764351383382391
"S[5, 16]",2019,"4+","S",0.445069427995184,0.239268878279309,0.647355245763978
"S[5, 17]",2020,"4+","S",0.609522531726497,0.412931683497276,0.767211953077254
"S[5, 18]",2021,"4+","S",0.625041520177191,0.378955939852629,0.792267758433973
"S[5, 1]",2004,"4+","S",0.664169970567425,0.495576082355672,0.812437777763396
"S[5, 2]",2005,"4+","S",0.563560939893693,0.373332672094846,0.747851755368994
"S[5, 3]",2006,"4+","S",0.582472936770307,0.389617898629432,0.755179627510766
"S[5, 4]",2007,"4+","S",0.653935464704755,0.470683289440724,0.804109252166447
"S[5, 5]",2008,"4+","S",0.619252485649514,0.434600519875651,0.784490484853037
"S[5, 6]",2009,"4+","S",0.676323233419848,0.500644148998435,0.821499843410813
"S[5, 7]",2010,"4+","S",0.595974151787809,0.413399102006744,0.758703313611266
"S[5, 8]",2011,"4+","S",0.6872236717761,0.518607875691623,0.821799351046433
"S[5, 9]",2012,"4+","S",0.62142177184003,0.43318794705766,0.787507033774596
"betaR.Psi",NA,NA,"betaR.Psi",0.495344345841875,0.209113811733161,0.814604381635827
"betaR.immR",NA,NA,"betaR.immR",0.707279143187513,0.0295642738636345,1.61645438526689
"betaR.mO",NA,NA,"betaR.mO",-0.426627529672049,-1.23539649823236,-0.0473313061031574
"betaR.rho",NA,NA,"betaR.rho",0.0510071491935526,-0.00571099459605462,0.1056081344447
"betaRd.mO",NA,NA,"betaRd.mO",-0.174827183634535,-1.37471887525017,-0.00653912441159276
"betaRxRd.mO",NA,NA,"betaRxRd.mO",-0.316137250794663,-2.06800408093586,0.206519237309786
"epsilon.Psi[10]",2013,NA,"epsilon.Psi",-0.628893074132547,-1.50375766714397,0.0311384973625248
"epsilon.Psi[11]",2014,NA,"epsilon.Psi",-0.00679814764328774,-0.775142150114926,0.764597160147968
"epsilon.Psi[12]",2015,NA,"epsilon.Psi",-0.0282032790020761,-0.804755497618936,0.694927471115344
"epsilon.Psi[13]",2016,NA,"epsilon.Psi",-0.123977092568999,-0.850146098485778,0.493051677377967
"epsilon.Psi[14]",2017,NA,"epsilon.Psi",0.00172559929035969,-0.79380268720817,0.818490185004761
"epsilon.Psi[15]",2018,NA,"epsilon.Psi",0.173393479997628,-0.546536816517373,1.24630560731819
"epsilon.Psi[16]",2019,NA,"epsilon.Psi",0.202761066603852,-0.52008685588552,1.40294448908662
"epsilon.Psi[17]",2020,NA,"epsilon.Psi",-0.270842402298225,-1.04619944389736,0.313724393160996
"epsilon.Psi[18]",2021,NA,"epsilon.Psi",0.0106980145439149,-0.687371737693478,0.748658450063354
"epsilon.Psi[19]",2022,NA,"epsilon.Psi",-0.0564427288327146,-1.12936850892726,0.86426636172008
"epsilon.Psi[1]",2004,NA,"epsilon.Psi",0.0467837545637959,-0.877839447926884,1.17430761002663
"epsilon.Psi[2]",2005,NA,"epsilon.Psi",0.110596427992947,-0.426416844241596,0.76644165258748
"epsilon.Psi[3]",2006,NA,"epsilon.Psi",0.324721208438532,-0.216548031331708,1.13301193751541
"epsilon.Psi[4]",2007,NA,"epsilon.Psi",-0.325956075137393,-1.24432593471032,0.306103360510647
"epsilon.Psi[5]",2008,NA,"epsilon.Psi",0.180169166197998,-0.424665242662974,1.00828666405005
"epsilon.Psi[6]",2009,NA,"epsilon.Psi",0.378358867019509,-0.230915084212689,1.36961891999539
"epsilon.Psi[7]",2010,NA,"epsilon.Psi",0.0478735790632242,-0.584526696789263,0.769918218919785
"epsilon.Psi[8]",2011,NA,"epsilon.Psi",0.012761241465687,-0.914233217831399,0.99568534182102
"epsilon.Psi[9]",2012,NA,"epsilon.Psi",0.128651541477962,-0.521471531958883,0.963660367785133
"epsilon.mH[10]",2013,NA,"epsilon.mH",-0.0222032830881521,-0.408970224580792,0.322017429084351
"epsilon.mH[11]",2014,NA,"epsilon.mH",-0.14354513991782,-0.581383621246526,0.208901279047183
"epsilon.mH[12]",2015,NA,"epsilon.mH",-0.204630879770206,-0.624592700206394,0.127925002856368
"epsilon.mH[13]",2016,NA,"epsilon.mH",-0.0527070132823274,-0.45329046240738,0.286261832571997
"epsilon.mH[14]",2017,NA,"epsilon.mH",-0.356199858707688,-0.86222576232959,0.0176780598180771
"epsilon.mH[15]",2018,NA,"epsilon.mH",0.00775614947332403,-0.45913714973811,0.399609858461097
"epsilon.mH[16]",2019,NA,"epsilon.mH",0.575347200302838,0.150369084796165,1.0264352040755
"epsilon.mH[17]",2020,NA,"epsilon.mH",0.0375378718708075,-0.36559759840315,0.476420429747029
"epsilon.mH[18]",2021,NA,"epsilon.mH",-0.00195150652448094,-0.49353843991629,0.600860800317433
"epsilon.mH[1]",2004,NA,"epsilon.mH",-0.162459815418078,-0.508448892841713,0.137002410598192
"epsilon.mH[2]",2005,NA,"epsilon.mH",0.198243040410952,-0.101282373209905,0.510933671669802
"epsilon.mH[3]",2006,NA,"epsilon.mH",0.153203861044395,-0.146751131076024,0.476656677255824
"epsilon.mH[4]",2007,NA,"epsilon.mH",-0.0912706618680698,-0.451042557322779,0.224505642793401
"epsilon.mH[5]",2008,NA,"epsilon.mH",-0.0327590091478184,-0.373109425054648,0.294591751637127
"epsilon.mH[6]",2009,NA,"epsilon.mH",-0.202854973367383,-0.627924929092858,0.140532767387828
"epsilon.mH[7]",2010,NA,"epsilon.mH",0.155748886334867,-0.158803400549117,0.451320895078089
"epsilon.mH[8]",2011,NA,"epsilon.mH",-0.198896878098221,-0.549139747325812,0.0918793553395113
"epsilon.mH[9]",2012,NA,"epsilon.mH",-0.0606625731630208,-0.45635484637351,0.2728145609283
"epsilon.mHs[10]",2013,NA,"epsilon.mHs",-0.0464468645564522,-1.69441290750594,0.872969644246881
"epsilon.mHs[11]",2014,NA,"epsilon.mHs",-0.0544575055250264,-1.63998167863798,0.928336352835701
"epsilon.mHs[12]",2015,NA,"epsilon.mHs",-0.058513590910616,-1.77569777335061,0.881800115882669
"epsilon.mHs[13]",2016,NA,"epsilon.mHs",-0.0552950382719601,-1.83827562117804,0.956538795263777
"epsilon.mHs[14]",2017,NA,"epsilon.mHs",-0.0922418246478829,-1.9451264168444,0.81819310892732
"epsilon.mHs[15]",2018,NA,"epsilon.mHs",-0.117474670162544,-1.9391697687362,0.789756197590083
"epsilon.mHs[16]",2019,NA,"epsilon.mHs",-0.0739323864659938,-1.89559311714156,0.823502466440773
"epsilon.mHs[17]",2020,NA,"epsilon.mHs",0.0136344845755514,-1.35032439029266,1.30752645801394
"epsilon.mHs[18]",2021,NA,"epsilon.mHs",0.0120925199468807,-1.34450463979136,1.4244004963033
"epsilon.mHs[1]",2004,NA,"epsilon.mHs",0.000890482298047951,-1.37047747884519,1.35756552963343
"epsilon.mHs[2]",2005,NA,"epsilon.mHs",0.280532149203419,-0.601170931820859,0.915530608199912
"epsilon.mHs[3]",2006,NA,"epsilon.mHs",0.038300446133768,-1.02553272906578,0.659430252702282
"epsilon.mHs[4]",2007,NA,"epsilon.mHs",-0.124577742678604,-1.41600324888292,0.465930689706475
"epsilon.mHs[5]",2008,NA,"epsilon.mHs",-0.741999736265719,-2.82314579237378,0.0149085004404688
"epsilon.mHs[6]",2009,NA,"epsilon.mHs",0.106523123369165,-0.855461021398948,0.778941487501728
"epsilon.mHs[7]",2010,NA,"epsilon.mHs",-0.0397836756976822,-1.15798711906427,0.568454281826325
"epsilon.mHs[8]",2011,NA,"epsilon.mHs",-0.226255723058964,-1.39559425769958,0.2957621944328
"epsilon.mHs[9]",2012,NA,"epsilon.mHs",-0.129081769594619,-1.25253008461298,0.400401629460447
"epsilon.mO[10]",2013,NA,"epsilon.mO",0.053785394787489,-2.70095724491824,1.28223234537846
"epsilon.mO[11]",2014,NA,"epsilon.mO",-0.418101866538786,-4.83531272265591,0.394055135509214
"epsilon.mO[12]",2015,NA,"epsilon.mO",-0.914628088710464,-6.31579932422641,0.0925706316081414
"epsilon.mO[13]",2016,NA,"epsilon.mO",-0.372407928720761,-4.40242333565081,0.348251707739717
"epsilon.mO[14]",2017,NA,"epsilon.mO",0.10245813546622,-2.79659226290776,0.979403643407557
"epsilon.mO[15]",2018,NA,"epsilon.mO",0.443735124699043,-0.80834158200344,1.54241432991948
"epsilon.mO[16]",2019,NA,"epsilon.mO",-0.128560767589301,-3.54752370120002,0.743996869264631
"epsilon.mO[17]",2020,NA,"epsilon.mO",-0.11707546574856,-3.2573157105445,0.848304712837312
"epsilon.mO[18]",2021,NA,"epsilon.mO",-0.37173188116429,-4.44580632214454,0.662980959182153
"epsilon.mO[1]",2004,NA,"epsilon.mO",-0.260788787839843,-3.93526717588401,0.694865997267711
"epsilon.mO[2]",2005,NA,"epsilon.mO",-0.275242214175281,-3.34966609203127,0.365310105756451
"epsilon.mO[3]",2006,NA,"epsilon.mO",0.0311859638579674,-2.22415245894733,1.17906329907442
"epsilon.mO[4]",2007,NA,"epsilon.mO",0.00531366834089605,-2.7525929693937,1.07651939227533
"epsilon.mO[5]",2008,NA,"epsilon.mO",0.00357462951037597,-2.03052756512866,1.14598265832905
"epsilon.mO[6]",2009,NA,"epsilon.mO",-0.396391303437553,-4.04316352987507,0.296097963862506
"epsilon.mO[7]",2010,NA,"epsilon.mO",-0.0159700173307307,-2.67383481662916,2.0739691348473
"epsilon.mO[8]",2011,NA,"epsilon.mO",-0.305776720760056,-4.72718324476419,0.619857581452418
"epsilon.mO[9]",2012,NA,"epsilon.mO",0.185201448523885,-1.29021073295263,1.21404002026916
"epsilon.rho[10]",2013,NA,"epsilon.rho",-0.07162007886998,-0.299898144192668,0.0618869258331693
"epsilon.rho[11]",2014,NA,"epsilon.rho",0.0037502798646192,-0.162227177935159,0.17733232010045
"epsilon.rho[12]",2015,NA,"epsilon.rho",-0.0501314862079396,-0.254444396565675,0.0812151806021399
"epsilon.rho[13]",2016,NA,"epsilon.rho",-0.0207271479759969,-0.197516294843491,0.110953479907554
"epsilon.rho[14]",2017,NA,"epsilon.rho",-0.0322638310041214,-0.263520480479284,0.114806871436557
"epsilon.rho[15]",2018,NA,"epsilon.rho",0.149585775392983,-0.0109020187745404,0.400115988933813
"epsilon.rho[16]",2019,NA,"epsilon.rho",0.00450903075582479,-0.147665087309134,0.165232765854883
"epsilon.rho[17]",2020,NA,"epsilon.rho",0.0170466494289633,-0.138365000866565,0.198774954163715
"epsilon.rho[18]",2021,NA,"epsilon.rho",0.0114126246750246,-0.145953533103159,0.188625566402668
"epsilon.rho[19]",2022,NA,"epsilon.rho",0.0133874179024767,-0.168197035961097,0.233625018107445
"epsilon.rho[1]",2004,NA,"epsilon.rho",-0.0186868981668332,-0.247724751600712,0.14746547696859
"epsilon.rho[2]",2005,NA,"epsilon.rho",-0.0571180445184863,-0.212819368557983,0.0537497602855518
"epsilon.rho[3]",2006,NA,"epsilon.rho",0.000661653788960781,-0.130717376009657,0.131328477172215
"epsilon.rho[4]",2007,NA,"epsilon.rho",0.011395966988023,-0.142553654126939,0.1852285839108
"epsilon.rho[5]",2008,NA,"epsilon.rho",0.0183484022211589,-0.101529125321166,0.154467257260193
"epsilon.rho[6]",2009,NA,"epsilon.rho",-0.0473002965806607,-0.261434638831452,0.0896049233412307
"epsilon.rho[7]",2010,NA,"epsilon.rho",0.0712897288236039,-0.0567936195536479,0.264260728016084
"epsilon.rho[8]",2011,NA,"epsilon.rho",0.00283485426114785,-0.192427440468783,0.207418603572633
"epsilon.rho[9]",2012,NA,"epsilon.rho",-0.0313081914998303,-0.18429554167854,0.0864706866505103
"immR[10]",2013,NA,"immR",0.0289257175044916,0.000338194550668552,0.332908679562778
"immR[11]",2014,NA,"immR",0.227882051860071,0.00402662298945993,1.7131955770586
"immR[12]",2015,NA,"immR",1.363133109343,0.190241238550164,3.9737650388365
"immR[13]",2016,NA,"immR",0.0612808856545521,0.00111009814781983,0.559649387004353
"immR[14]",2017,NA,"immR",0.0244403436155929,0.000323017375902578,0.284342898864452
"immR[15]",2018,NA,"immR",0.901315001842793,0.0291718054071928,7.17203168857874
"immR[16]",2019,NA,"immR",0.201820066333506,0.00292354535512644,1.64287328426141
"immR[17]",2020,NA,"immR",0.0845537786710442,0.0010204481981072,1.19646025101188
"immR[18]",2021,NA,"immR",0.153506846196444,0.0018024838345938,3.53928960713682
"immR[19]",2022,NA,"immR",0.175164251300855,0.00279539125217333,10.7779883931643
"immR[1]",2004,NA,"immR",0.0545443335661283,0.000714670364106305,2.90416968068883
"immR[2]",2005,NA,"immR",0.0431001785179148,0.000497501290645819,0.530520210299127
"immR[3]",2006,NA,"immR",0.0509944229114288,0.000830854297137528,0.629353825649633
"immR[4]",2007,NA,"immR",1.27690614487962,0.170795702096298,4.25357849745156
"immR[5]",2008,NA,"immR",0.0253422909800908,0.000288108086914362,0.355491636536626
"immR[6]",2009,NA,"immR",0.0278010543103295,0.000301044024932592,0.581580051892948
"immR[7]",2010,NA,"immR",1.4609370891611,0.321791857484264,3.99722180303146
"immR[8]",2011,NA,"immR",0.65164348168912,0.0369328887364675,1.94618382058411
"immR[9]",2012,NA,"immR",0.0227862916989186,0.000304547685841543,0.22289536016401
"initN[1]",2004,NA,"initN",45,20,116
"initN[2]",2005,NA,"initN",45,29,71
"initN[3]",2006,NA,"initN",52,35,81
"initN[4]",2007,NA,"initN",11,5,24
"initN[5]",2008,NA,"initN",28,16,50
"mH[1, 10]",2013,"0","mH",0.327550405487505,0.203980124110535,0.518009150919994
"mH[1, 11]",2014,"0","mH",0.290094508708384,0.177245098160822,0.449632324331982
"mH[1, 12]",2015,"0","mH",0.273183378840523,0.171470806287847,0.415629782667475
"mH[1, 13]",2016,"0","mH",0.318432825513874,0.200266855617853,0.494005318909816
"mH[1, 14]",2017,"0","mH",0.23393098552888,0.135912155449987,0.375634655819597
"mH[1, 15]",2018,"0","mH",0.338638499275135,0.191609186462777,0.560403243669739
"mH[1, 16]",2019,"0","mH",0.60276512345551,0.348269386497966,1.00752713357208
"mH[1, 17]",2020,"0","mH",0.350138445276709,0.20662985386639,0.607594451780971
"mH[1, 18]",2021,"0","mH",0.335222030502968,0.184468464173091,0.683531504592854
"mH[1, 1]",2004,"0","mH",0.285770653358,0.187830858406533,0.420325229769995
"mH[1, 2]",2005,"0","mH",0.411720419432491,0.278746453109651,0.599437632113162
"mH[1, 3]",2006,"0","mH",0.39473948046055,0.265467563687183,0.576643147304321
"mH[1, 4]",2007,"0","mH",0.306958476007433,0.199501148400203,0.454041225033355
"mH[1, 5]",2008,"0","mH",0.325328972979181,0.217369734872079,0.484066272889151
"mH[1, 6]",2009,"0","mH",0.273318530463243,0.170229769234143,0.41793579916522
"mH[1, 7]",2010,"0","mH",0.394139972777217,0.275231173502501,0.544695068471415
"mH[1, 8]",2011,"0","mH",0.275726663890995,0.178451679265606,0.407024938983751
"mH[1, 9]",2012,"0","mH",0.314685374241247,0.19707546040001,0.495920586400695
"mH[2, 10]",2013,"1","mH",0.432804494230243,0.283147822103447,0.663864471390774
"mH[2, 11]",2014,"1","mH",0.383146406213724,0.238136638998431,0.594344672538521
"mH[2, 12]",2015,"1","mH",0.36048520744191,0.231515984183716,0.542741183675374
"mH[2, 13]",2016,"1","mH",0.420515687414907,0.27507704471946,0.630295002464479
"mH[2, 14]",2017,"1","mH",0.308832999579125,0.184390323685857,0.487330738910157
"mH[2, 15]",2018,"1","mH",0.445647559511777,0.259371937293795,0.750770075483586
"mH[2, 16]",2019,"1","mH",0.793615388014914,0.46186043300047,1.35588221771698
"mH[2, 17]",2020,"1","mH",0.460287153479028,0.272726605229335,0.826217449653986
"mH[2, 18]",2021,"1","mH",0.440454366476779,0.244420440684075,0.933681233446669
"mH[2, 1]",2004,"1","mH",0.37684514137642,0.261965389974606,0.532254296996622
