"Numéro";"N° Etiquette";"Commune de Prélèvement";"GIC";"Mode Prélt";"Nom";"Date de Mort";"MOIS";"Saison";"saison reprod";"Poids";"Sexe";"Prvt Utérus";"Femelle Allaitante";"Foetus (DSV)";"Femelle non repro";"Phase pré-implan-tatoire";"Nbre d'Emb";"Nbre de res";"Nbre de Cicat Année n";"Nbre de cic de res ou de n-1";"Prvt Dent";"Agedents";"Remarques";"reprod";"nbrepro";"Age"
40;"174";"10310";"B";"P";"GRAUPNER";2/12/2005 00:00:00;12;1.00;1;7.50;"F";"N";"N";;;;;;;;"O";8.00;;;;8
41;"78";"10331";"S";"C";"ROBERT";4/12/2005 00:00:00;12;1.00;1;5.50;"F";"N";"N";;;;;;;;"O";0.00;;;;0
42;"103";"10215";"B";"P";"MAREY";6/12/2005 00:00:00;12;1.00;1;7.19;"M";;;;;;;;;;"O";1.00;;;;1
43;"120";"10055";"B";"T";"BERGERAT";9/12/2005 00:00:00;12;1.00;1;5.80;"F";"N";"N";;;;;;;;"O";2.00;;;;2
44;"121";"10213";"B";"T";"BERGERAT";9/12/2005 00:00:00;12;1.00;1;4.80;"F";"N";"N";;;;;;;;"O";2.00;;;;2
45;"122";"10045";"B";"T";"BAUDOUX";9/12/2005 00:00:00;12;1.00;1;7.59;"M";;;;;;;;;;"O";0.00;;;;0
46;"123";"10438";"B";"T";"BAUDOUX";9/12/2005 00:00:00;12;1.00;1;5.40;"F";"N";"N";;;;;;;;"O";0.00;;;;0
47;"75";"10009";"S";"C";"DECHANNES";10/12/2005 00:00:00;12;1.00;1;5.80;"M";;;;;;;;;;"O";1.00;;;;1
48;"95";"10045";"B";"C";"CARRIC";10/12/2005 00:00:00;12;1.00;1;6.50;"M";;;;;;;;;;"O";0.00;;;;0
49;"106";"10296";"S";"C";"DI FRUSCHIA";10/12/2005 00:00:00;12;1.00;1;7.09;"M";;;;;;;;;;"O";0.00;;;;0
50;"24";"10401";"B";"P";"CHAZELLE";11/12/2005 00:00:00;12;1.00;1;4.50;"F";"N";"N";;;;;;;;"O";0.00;;;;0
51;"108";"10438";"B";"C";"RAPENEAU";12/12/2005 00:00:00;12;1.00;1;5.59;"M";;;;;;;;;;"O";0.00;;;;0
52;"107";"10205";"B";"P";"BATKOWSKI";13/12/2005 00:00:00;12;1.00;1;5.50;"M";;;;;;;;;;"O";0.00;;;;0
53;"113";"10432";"S";"P";"THOMAS";13/12/2005 00:00:00;12;1.00;1;4.69;"F";"N";"N";;;;;;;;"O";0.00;;;;0
54;"116";"10215";"B";"T";"DOSSOT";13/12/2005 00:00:00;12;1.00;1;7.09;"M";;;;;;;;;;"O";0.00;;;;0
55;"117";"10376";"B";"T";"CHASTRAGNAT";13/12/2005 00:00:00;12;1.00;1;5.80;"M";;;;;;;;;;"O";0.00;;;;0
56;"119";"10376";"B";"T";"DOSSOT";13/12/2005 00:00:00;12;1.00;1;7.09;"F";"N";"N";;;;;;;;"O";5.00;;;;5
57;"125";"10401";"B";"T";"CHASTRAGNAT";13/12/2005 00:00:00;12;1.00;1;5.19;"F";"N";"N";;;;;;;;"O";0.00;;;;0
58;"16";"10331";"S";"P";"JOUOT";14/12/2005 00:00:00;12;1.00;1;7.09;"M";;;;;;;;;;"O";2.00;;;;2
59;"17";"10331";"S";"P";"JOUOT";14/12/2005 00:00:00;12;1.00;1;5.40;"F";"N";"N";;;;;;;;"N";;;;;
60;"143";"10376";"B";"T";"BAUDOUX";14/12/2005 00:00:00;12;1.00;1;5.09;"F";"N";"N";;;;;;;;"O";0.00;;;;0
61;"148";"10376";"B";"T";"BERGERAT";14/12/2005 00:00:00;12;1.00;1;6.40;"M";;;;;;;;;;"O";0.00;;;;0
62;"149";"10136";"B";"T";"BERGERAT";14/12/2005 00:00:00;12;1.00;1;6.19;"M";;;;;;;;;;"O";0.00;;;;0
63;"109";"10205";"B";"P";"BATKOWSKI";15/12/2005 00:00:00;12;1.00;1;5.09;"F";"N";"N";;;;;;;;"O";1.00;;;;1
64;"135";"10055";"B";"V";"DOSSOT";15/12/2005 00:00:00;12;1.00;1;5.40;"F";"N";"N";;;;;;;;"O";0.00;;;;0
65;"48";"10252";"B";"P";"CAILLE";16/12/2005 00:00:00;12;1.00;1;5.80;"M";;;;;;;;;;"O";0.00;;;;0
66;"188";"10432";"S";"C";"CHARLOT";16/12/2005 00:00:00;12;1.00;1;5.50;"F";"N";"N";;;;;;;;"N";;;;;
67;"88";"10045";"B";"P";"BILLIOUT";17/12/2005 00:00:00;12;1.00;1;6.50;"M";;;;;;;;;;"O";3.00;;;;3
68;"86";"10310";"B";"P";"GOBIN";19/12/2005 00:00:00;12;1.00;1;8.50;"M";;;;;;;;;;"O";0.00;;;;0
69;"118";"10438";"B";"T";"DOSSOT";19/12/2005 00:00:00;12;1.00;1;5.59;"F";"N";"N";;;;;;;;"O";0.00;;;;0
70;"136";"10159";"B";"T";"DOSSOT";19/12/2005 00:00:00;12;1.00;1;6.75;"F";"N";"N";;;;;;;;"O";6.00;;;;6
71;"112";"10213";"B";"P";"THIERRY";20/12/2005 00:00:00;12;1.00;1;4.90;"M";;;;;;;;;;"O";0.00;;;;0
72;"110";"10438";"B";"P";"BILLIOUT";21/12/2005 00:00:00;12;1.00;1;5.50;"F";"N";"N";;;;;;;;"O";0.00;;;;0
73;"111";"10215";"B";"P";"MAREY";21/12/2005 00:00:00;12;1.00;1;7.30;"F";"N";"N";;;;;;;;"O";2.00;;;;2
74;"150";"10376";"B";"T";"BERGERAT";21/12/2005 00:00:00;12;1.00;1;6.20;"F";"N";"N";;;;;;;;"O";2.00;;;;2
75;"151";"10376";"B";"T";"BAUDOUX";21/12/2005 00:00:00;12;1.00;1;4.60;"F";"N";"N";;;;;;;;"O";0.00;;;;0
76;"153";"10213";"B";"T";"BERGERAT";21/12/2005 00:00:00;12;1.00;1;7.00;"F";"N";"N";;;;;;;;"O";5.00;;;;5
77;"154";"10069";"B";"T";"BAUDOUX";21/12/2005 00:00:00;12;1.00;1;4.90;"F";"N";"N";;;;;;;;"O";2.00;;;;2
78;"155";"10097";"B";"T";"BERGERAT";21/12/2005 00:00:00;12;1.00;1;6.80;"M";;;;;;;;;;"O";0.00;;;;0
79;"156";"10136";"B";"T";"BERGERAT";21/12/2005 00:00:00;12;1.00;1;5.20;"F";"N";"N";;;;;;;;"O";0.00;;;;0
80;"157";"10232";"B";"T";"BERGERAT";21/12/2005 00:00:00;12;1.00;1;8.70;"M";;;;;;;;;;"O";1.00;;;;1
81;"158";"10034";"B";"T";"BAUDOUX";21/12/2005 00:00:00;12;1.00;1;5.40;"M";;;;;;;;;;"O";0.00;;;;0
82;"176";"10159";"B";"T";"CHASTRAGNAT";22/12/2005 00:00:00;12;1.00;1;6.50;"F";"N";"N";;;;;;;;"O";2.00;;;;2
83;"177";"10213";"B";"T";"DOSSOT";22/12/2005 00:00:00;12;1.00;1;5.59;"M";;;;;;;;;;"O";1.00;;;;1
84;"185";"10045";"B";"T";"CHASTRAGNAT";22/12/2005 00:00:00;12;1.00;1;8.00;"M";;;;;;;;;;"O";0.00;;;;0
85;"159";"10310";"B";"P";"CRAUPNER";23/12/2005 00:00:00;12;1.00;1;6.40;"F";"N";"N";;;;;;;;"O";2.00;;;;2
86;"20";"10331";"S";"P";"JOUOT";24/12/2005 00:00:00;12;1.00;1;6.30;"M";;;;;;;;;;"O";0.00;;;;0
87;"165";"10331";"S";"P";"JAVETTE";24/12/2005 00:00:00;12;1.00;1;5.59;"M";;;;;;;;;;"O";0.00;;;;0
88;"57";"10041";"B";"C";"BOITHIER";25/12/2005 00:00:00;12;1.00;1;8.00;"M";;;;;;;;;;"O";3.00;;;;3
89;"160";"10213";"B";"P";"THIERRY";25/12/2005 00:00:00;12;1.00;1;4.80;"F";"N";"N";;;;;;;;"O";0.00;;;;0
90;"162";"10438";"B";"P";"MARTINOT";25/12/2005 00:00:00;12;1.00;1;4.59;"F";"N";"N";;;;;;;;"O";0.00;;;;0
91;"163";"10438";"B";"P";"MARTINOT";25/12/2005 00:00:00;12;1.00;1;4.80;"M";;;;;;;;;;"O";0.00;;;;0
92;"166";"10331";"S";"P";"JOUOT";25/12/2005 00:00:00;12;1.00;1;5.40;"M";;;;;;;;;;"O";0.00;;;;0
93;"167";"10331";"S";"P";"JOUOT";26/12/2005 00:00:00;12;1.00;1;5.59;"M";;;;;;;;;;"O";0.00;;;;0
94;"138";"10401";"B";"T";"BERGERAT";27/12/2005 00:00:00;12;1.00;1;6.00;"M";;;;;;;;;;"O";0.00;;;;0
95;"82";"10205";"B";"P";"BATKOWSKI";28/12/2005 00:00:00;12;1.00;1;5.59;"F";"N";"N";;;;;;;;"O";0.00;;;;0
96;"172";"10215";"B";"C";"MAREY";29/12/2005 00:00:00;12;1.00;1;6.90;"M";;;;;;;;;;"O";0.00;;;;0
97;"173";"10215";"B";"P";"PIETREMONT";29/12/2005 00:00:00;12;1.00;1;6.09;"M";;;;;;;;;;"O";0.00;;;;0
98;"178";"10438";"B";"T";"DOSSOT";29/12/2005 00:00:00;12;1.00;1;5.80;"M";;;;;;;;;;"O";3.00;;;;3
99;"89";"10310";"B";"V";"GRAUPNER";30/12/2005 00:00:00;12;1.00;1;7.69;"M";;;;;;;;;;"O";1.00;;;;1
100;"99";"10055";"B";"T";"RIVIERE";30/12/2005 00:00:00;12;1.00;1;5.90;"M";;;;;;;;;;"N";;;;;
