"Numéro";"N° Etiquette";"Commune de Prélèvement";"GIC";"Mode Prélt";"Nom";"Date de Mort";"MOIS";"Saison";"saison reprod";"Poids";"Sexe";"Prvt Utérus";"Femelle Allaitante";"Foetus (DSV)";"Femelle non repro";"Phase pré-implan-tatoire";"Nbre d'Emb";"Nbre de res";"Nbre de Cicat Année n";"Nbre de cic de res ou de n-1";"Prvt Dent";"Agedents";"Remarques";"reprod";"nbrepro";"Age"
498;"628";"10055";"B";"P";"ROUX";24/12/2006 00:00:00;12;2.00;2;5.34;"F";"N";"N";;;;;;;;"O";1.00;;;;1
499;"614";"10034";"B";"C";"LUCAS";25/12/2006 00:00:00;12;2.00;2;5.40;"F";"N";"N";;;;;;;;"O";2.00;;;;2
500;"615";"10181";"S";"C";"LASSAIGNES";25/12/2006 00:00:00;12;2.00;2;6.09;"M";;;;;;;;;;"O";0.00;;;;0
501;"630";"10427";"B";"P";"COURTOT";26/12/2006 00:00:00;12;2.00;2;4.34;"F";"N";"N";;;;;;;;"O";0.00;;;;0
502;"600";"10045";"B";"P";"RAULIN";27/12/2006 00:00:00;12;2.00;2;4.80;"M";;;;;;;;;;"O";0.00;;;;0
503;"601";"10252";"B";"P";"CAILLE";28/12/2006 00:00:00;12;2.00;2;5.09;"M";;;;;;;;;;"O";0.00;;;;0
504;"634";"10438";"B";"T";"BERGERAT";28/12/2006 00:00:00;12;2.00;2;5.59;"F";"N";"N";;;;;;;;"O";1.00;;;;1
505;"635";"10438";"B";"T";"BERGERAT";28/12/2006 00:00:00;12;2.00;2;5.69;"M";;;;;;;;;;"O";0.00;;;;0
506;"652";"10438";"B";"T";"BAUDOUX";28/12/2006 00:00:00;12;2.00;2;8.30;"M";;;;;;;;;;"O";6.00;;;;6
507;"672";"10213";"B";"T";"BAUDOUX";28/12/2006 00:00:00;12;2.00;2;6.40;"M";;;;;;;;;;"O";2.00;;;;2
508;"676";"10232";"B";"T";"BERGERAT";28/12/2006 00:00:00;12;2.00;2;6.69;"M";;;;;;;;;;"O";0.00;;;;0
509;"678";"10045";"B";"T";"BAUDOUX";28/12/2006 00:00:00;12;2.00;2;6.59;"M";;;;;;;;;;"O";0.00;;;;0
510;"631";"10034";"B";"C";"LUCAS";30/12/2006 00:00:00;12;2.00;2;6.00;"M";;;;;;;;;;"O";0.00;;;;0
511;"660";"10181";"S";"C";"LASSAIGNES";30/12/2006 00:00:00;12;2.00;2;7.50;"M";;;;;;;;;;"O";0.00;;;;0
512;"661";"10432";"S";"P";"THOMAS";30/12/2006 00:00:00;12;2.00;2;8.35;"F";"N";"N";;;;;;;;"O";0.00;;;;0
513;"632";"10331";"S";"P";"JOUOT";1/1/2007 00:00:00;1;2.00;2;5.00;"F";"N";"N";;;;;;;;"O";1.00;;;;1
514;"663";"10041";"B";"C";"BOITHIER";1/1/2007 00:00:00;1;2.00;2;7.25;"M";;;;;;;;;;"O";0.00;;;;0
515;"644";"10432";"S";"P";"THOMAS";3/1/2007 00:00:00;1;2.00;2;3.70;"F";"N";"N";;;;;;;;"O";0.00;;;;0
516;"657";"10055";"B";"P";"ROUX";3/1/2007 00:00:00;1;2.00;2;5.19;"M";;;;;;;;;;"O";0.00;;;;0
517;"645";"10438";"B";"P";"BILLIOUT";4/1/2007 00:00:00;1;2.00;2;6.50;"M";;;;;;;;;;"O";8.00;;;;8
518;"667";"10069";"B";"C";"PICART";5/1/2007 00:00:00;1;2.00;2;6.15;"M";;;;;;;;;;"O";0.00;;;;0
519;"353";"10310";"B";"C";"GOBIN";6/1/2007 00:00:00;1;2.00;2;7.15;"M";;;;;;;;;;"O";4.00;;;;4
520;"646";"10215";"B";"S";"PIETREMONT";6/1/2007 00:00:00;1;2.00;2;5.50;"F";"N";"N";;;;;;;;"O";0.00;;;;0
521;"658";"10215";"B";"S";"MAREY";6/1/2007 00:00:00;1;2.00;2;6.50;"M";;;;;;;;;;"O";0.00;;;;0
522;"662";"10159";"B";"P";"BILLIOUT";8/1/2007 00:00:00;1;2.00;2;4.34;"F";"N";"N";;;;;;;;"O";0.00;;;;0
523;"669";"10331";"S";"P";"JOUOT";11/1/2007 00:00:00;1;2.00;2;5.25;"F";"N";"N";;;;;;;;"O";0.00;;;;0
524;"670";"10331";"S";"P";"JOUOT";11/1/2007 00:00:00;1;2.00;2;5.40;"M";;;;;;;;;;"O";0.00;;;;0
525;"666";"10205";"B";"P";"BATKOWSKI";12/1/2007 00:00:00;1;2.00;2;4.84;"F";"N";"N";;;;;;;;"O";0.00;;;;0
526;"654";"10215";"B";"S";"MAREY";14/1/2007 00:00:00;1;2.00;2;7.69;"M";;;;;;;;;;"O";1.00;;;;1
527;"656";"10310";"B";"P";"GOBIN";16/1/2007 00:00:00;1;2.00;2;4.50;"F";"N";"N";;;;;;;;"O";0.00;;;;0
528;"653";"10045";"B";"P";"CARRIC";17/1/2007 00:00:00;1;2.00;2;5.65;"M";;;;;;;;;;"O";1.00;;;;1
529;"655";"10401";"B";"P";"GERARD";17/1/2007 00:00:00;1;2.00;2;4.84;"F";"N";"N";;;;;;;;"O";0.00;;;;0
530;"659";"10432";"S";"P";"THOMAS";17/1/2007 00:00:00;1;2.00;2;5.25;"F";"N";"N";;;;;;;;"O";0.00;;;;0
531;"516";"10181";"S";"C";"MINOT";21/1/2007 00:00:00;1;2.00;2;5.50;"M";;;;;;;;;;"O";0.00;;;;0
532;"664";"10432";"S";"C";"CHARLOT";22/1/2007 00:00:00;1;2.00;2;6.19;"M";;;;;;;;;;"O";4.00;;;;4
533;"671";"10331";"S";"P";"JOUOT";22/1/2007 00:00:00;1;2.00;2;5.59;"M";;;;;;;;;;"O";0.00;;;;0
534;"679";"10188";"S";"C";"PLAGELET";28/1/2007 00:00:00;1;2.00;2;5.84;"M";;;;;;;;;;"O";2.00;;;;2
535;"681";"10055";"B";"P";"RIVIERE";29/1/2007 00:00:00;1;2.00;2;5.30;"F";"N";"N";;;;;;;;"O";0.00;;;;0
536;"682";"10432";"S";"P";"THOMAS";29/1/2007 00:00:00;1;2.00;2;5.55;"F";"N";"N";;;;;;;;"O";1.00;;;;1
537;"683";"10432";"S";"V";"CHARLOT";29/1/2007 00:00:00;1;2.00;2;6.00;"M";;;;;;;;;;"O";4.00;;;;4
538;"684";"10438";"B";"C";"RAPENEAU";29/1/2007 00:00:00;1;2.00;2;5.69;"M";;;;;;;;;;"O";0.00;;;;0
539;"685";"10438";"B";"C";"RAPENEAU";29/1/2007 00:00:00;1;2.00;2;5.00;"M";;;;;;;;;;"O";2.00;;;;2
540;"686";"10437";"S";"V";"LASSAIGNES";29/1/2007 00:00:00;1;2.00;2;5.84;"F";"N";"N";;;;;;;;"O";0.00;;;;0
541;"680";"10045";"B";"P";"CARRIC";30/1/2007 00:00:00;1;2.00;2;6.09;"M";;;;;;;;;;"O";3.00;;;;3
542;"690";"10049";"S";"V";"OUDOT";30/1/2007 00:00:00;1;2.00;2;6.90;"M";;;;;;;;;;"O";5.00;;;;5
543;"687";"10213";"B";"P";"THIERRY";31/1/2007 00:00:00;1;2.00;2;5.09;"F";"N";"N";;;;;;;;"O";2.00;;;;2
544;"689";"10438";"B";"P";"BILLIOUT";31/1/2007 00:00:00;1;2.00;2;4.25;"F";"N";"N";;;;;;;;"O";0.00;;;;0
545;"688";"10213";"B";"P";"THIERRY";1/2/2007 00:00:00;2;2.00;3;5.90;"M";;;;;;;;;;"O";2.00;;;;3
546;"691";"10232";"B";"P";"RIVIERE";1/2/2007 00:00:00;2;2.00;3;4.34;"F";"N";"N";;;;;;;;"O";1.00;;;;2
547;"698";"10432";"S";"P";"THOMAS";2/2/2007 00:00:00;2;2.00;3;5.60;"F";"O";"N";;;"x";;;;;"O";0.00;;"PI";;1
548;"692";"10310";"B";"C";"GOBIN";3/2/2007 00:00:00;2;2.00;3;5.90;"M";;;;;;;;;;"O";1.00;;;;2
549;"696";"10215";"B";"S";"MAREY";4/2/2007 00:00:00;2;2.00;3;5.80;"M";;;;;;;;;;"O";0.00;;;;1
550;"668";"10331";"S";"P";"JOUOT";5/2/2007 00:00:00;2;2.00;3;5.00;"F";"O";"N";;;"x";;;;;"N";;;"PI";;
551;"697";"10432";"S";"P";"THOMAS";6/2/2007 00:00:00;2;2.00;3;4.59;"F";"O";"N";;;"x";;;;;"O";7.00;;"PI";;8
552;"716";"10331";"S";"P";"JOUOT";6/2/2007 00:00:00;2;2.00;3;5.80;"M";;;;;;;;;;"O";1.00;;;;2
553;"699";"10045";"B";"S";"CARRIC";7/2/2007 00:00:00;2;2.00;3;6.00;"F";"O";"N";;;;"7";;;;"O";1.00;;"E";7;2
554;"714";"10097";"B";"P";"BILLIOUT";8/2/2007 00:00:00;2;2.00;3;4.20;"M";;;;;;;;;;"O";1.00;;;;2
555;"715";"10097";"B";"V";"BILLIOUT";8/2/2007 00:00:00;2;2.00;3;4.70;"M";;;;;;;;;;"O";0.00;;;;1
556;"700";"10252";"B";"P";"CAILLE";9/2/2007 00:00:00;2;2.00;3;5.65;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";2.00;;"E";5;3
557;"712";"10232";"B";"P";"RIVIERE";9/2/2007 00:00:00;2;2.00;3;5.40;"M";;;;;;;;;;"O";1.00;;;;2
558;"713";"10401";"B";"P";"GERARD";9/2/2007 00:00:00;2;2.00;3;5.19;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";3.00;;"E";5;4
559;"665";"10331";"S";"P";"JOUOT";10/2/2007 00:00:00;2;2.00;3;7.09;"M";;;;;;;;;;"O";0.00;;;;1
560;"702";"10427";"B";"P";"COURTOT";14/2/2007 00:00:00;2;2.00;3;4.00;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";0.00;;"E";5;1
561;"703";"10213";"B";"P";"THIERRY";14/2/2007 00:00:00;2;2.00;3;4.84;"F";"O";"N";;;"x";;;;;"O";0.00;;"PI";;1
562;"694";"10331";"S";"P";"JOUOT";15/2/2007 00:00:00;2;2.00;3;5.80;"F";"O";"N";;;;"8";;;;"O";0.00;;"E";8;1
563;"701";"10213";"B";"P";"MOTTARD";15/2/2007 00:00:00;2;2.00;3;5.90;"M";;;;;;;;;;"O";0.00;;;;1
564;"717";"10188";"S";"T";"BAUDOUX";15/2/2007 00:00:00;2;2.00;3;6.05;"F";"O Dsv";"N";"6 Foetus";;;"6";;;;"O";1.00;;"E";6;2
565;"711";"10213";"B";"P";"THIERRY";16/2/2007 00:00:00;2;2.00;3;4.80;"F";"O";"N";;;"x";;;;;"O";0.00;;"PI";;1
566;"708";"10401";"B";"P";"GERARD";18/2/2007 00:00:00;2;2.00;3;4.90;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"N";;;"E";5;
567;"572";"10136";"B";"T";"BERGERAT";19/2/2007 00:00:00;2;2.00;3;5.80;"M";;;;;;;;;;"O";0.00;;;;1
568;"575";"10438";"B";"T";"BERGERAT";19/2/2007 00:00:00;2;2.00;3;5.69;"M";;;;;;;;;;"O";0.00;;;;1
569;"576";"10045";"B";"T";"BERGERAT";19/2/2007 00:00:00;2;2.00;3;6.69;"F";"O Dsv";"N";"4 Foetus";;;"4";;;;"O";8.00;;"E";4;9
570;"707";"10034";"S";"P";"SEURAT";19/2/2007 00:00:00;2;2.00;3;5.25;"M";;;;;;;;;;"O";0.00;;;;1
571;"709";"10432";"S";"C";"CHARLOT";19/2/2007 00:00:00;2;2.00;3;6.34;"M";;;;;;;;;;"O";2.00;;;;3
572;"577";"10401";"B";"T";"BERGERAT";20/2/2007 00:00:00;2;2.00;3;7.90;"M";;;;;;;;;;"O";1.00;;;;2
573;"651";"10401";"B";"T";"BERGERAT";20/2/2007 00:00:00;2;2.00;3;3.54;"F";"O";"N";;;"x";;;;;"O";0.00;;"PI";;1
574;"710";"10055";"B";"P";"FAUCHE";20/2/2007 00:00:00;2;2.00;3;5.40;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";5.00;;"E";5;6
575;"704";"10401";"B";"S";"BILLIOUT";21/2/2007 00:00:00;2;2.00;3;7.44;"M";;;;;;;;;;"O";2.00;;;;3
576;"705";"10401";"B";"S";"BILLIOUT";21/2/2007 00:00:00;2;2.00;3;6.09;"F";"O Dsv";"N";"7 Foetus";;;"7";;;;"O";5.00;;"E";7;6
577;"706";"10401";"B";"S";"BILLIOUT";21/2/2007 00:00:00;2;2.00;3;6.09;"F";"O Dsv";"N";"3 Foetus";;;"3";;;;"O";2.00;;"E";3;3
578;"718";"10401";"B";"S";"MAREY";21/2/2007 00:00:00;2;2.00;3;5.00;"F";"O Dsv";"N";"4 Foetus";;;"4";;;;"O";5.00;;"E";4;6
579;"512";"10310";"B";"T";"CHASTRAGNAT";22/2/2007 00:00:00;2;2.00;3;7.17;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";1.00;;"E";5;2
580;"695";"10331";"S";"P";"JOUOT";23/2/2007 00:00:00;2;2.00;3;5.80;"F";"O Dsv";"N";"6 Foetus";;;"6";;;;"O";1.00;;"E";6;2
581;"693";"10331";"S";"P";"JOUOT";25/2/2007 00:00:00;2;2.00;3;5.69;"F";"O Dsv";"N";"6 Foetus";;;"6";;;;"N";;;"E";6;
582;"745";"10213";"B";"P";"THIERRY";25/2/2007 00:00:00;2;2.00;3;6.44;"M";;;;;;;;;;"O";0.00;;;;1
583;"747";"10232";"B";"C";"BENCHAABANE";25/2/2007 00:00:00;2;2.00;3;4.84;"M";;;;;;;;;;"O";0.00;;;;1
584;"495";"10418";"S";"T";"DOSSOT";28/2/2007 00:00:00;2;2.00;3;6.19;"F";"N";"N";;;;;;;;"O";1.00;;;;2
585;"500";"10418";"S";"T";"BAZIN";28/2/2007 00:00:00;2;2.00;3;5.40;"M";;;;;;;;;;"O";5.00;;;;6
586;"744";"10213";"B";"P";"THIERRY";28/2/2007 00:00:00;2;2.00;3;4.80;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";1.00;;"E";5;2
587;"746";"10205";"B";"S";"BILLIOUT";28/2/2007 00:00:00;2;2.00;3;7.00;"F";"O Dsv";"N";"7 Foetus";;;"7";;;;"O";4.00;;"E";7;5
588;"578";"10401";"B";"T";"PLOUVIEZ";1/3/2007 00:00:00;3;2.00;3;6.05;"M";;;;;;;;;;"O";2.00;;;;3
589;"579";"10401";"B";"T";"PLOUVIEZ";1/3/2007 00:00:00;3;2.00;3;6.59;"M";;;;;;;;;;"O";4.00;;;;5
590;"643";"10401";"B";"T";"PLOUVIEZ";1/3/2007 00:00:00;3;2.00;3;6.05;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";0.00;;"E";5;1
591;"740";"10331";"S";"P";"JOUOT";1/3/2007 00:00:00;3;2.00;3;5.19;"F";"O";"N";;;;;;"3";;"O";1.00;;"CP";3;2
592;"677";"10401";"B";"T";"PLOUVIEZ";2/3/2007 00:00:00;3;2.00;3;7.19;"F";"O Dsv";"N";"4 Foetus";;;"4";;;;"O";0.00;;"E";4;1
593;"739";"10205";"B";"P";"BATKOWSKI";4/3/2007 00:00:00;3;2.00;3;5.30;"M";;;;;;;;;;"N";;;;;
594;"741";"10331";"S";"P";"JOUOT";5/3/2007 00:00:00;3;2.00;3;7.05;"F";"O Dsv";"N";"6 Foetus";;;"6";;;;"O";4.00;;"E";6;5
595;"494";"10310";"B";"T";"BAUDOUX";6/3/2007 00:00:00;3;2.00;3;4.55;"F";"O";"N";;;;"5";;;;"O";0.00;;"E";5;1
596;"735";"10213";"B";"P";"THIERRY";6/3/2007 00:00:00;3;2.00;3;7.40;"M";;;;;;;;;;"O";2.00;;;;3
597;"738";"10045";"B";"P";"CARRIC";6/3/2007 00:00:00;3;2.00;3;6.30;"F";"O Dsv";"N";"4 Foetus";;;"4";;;;"O";3.00;;"E";4;4
598;"736";"10438";"B";"V";"BILLIOUT";8/3/2007 00:00:00;3;2.00;3;5.25;"F";"O Dsv";"N";"4 Foetus";;;"4";;;;"O";2.00;;"E";4;3
599;"640";"10376";"B";"T";"PLOUVIEZ";9/3/2007 00:00:00;3;2.00;3;6.25;"F";"Inut";"N";"7 Fœtus ?";;;;;;;"O";0.00;"NON RETENU";;;1
600;"642";"10213";"B";"T";"PLOUVIEZ";9/3/2007 00:00:00;3;2.00;3;3.90;"F";"N";"N";;;;;;;;"O";2.00;;;;3
601;"719";"10432";"S";"P";"THOMAS";9/3/2007 00:00:00;3;2.00;3;5.34;"F";"O Dsv";"N";"4 Foetus";;;"4";;;;"O";0.00;;"E";4;1
602;"734";"10252";"B";"P";"CAILLE";10/3/2007 00:00:00;3;2.00;3;5.19;"F";"O";"N";;"x";;;;;;"N";;;"O";;
603;"733";"10401";"B";"P";"GERARD";12/3/2007 00:00:00;3;2.00;3;5.55;"M";;;;;;;;;;"O";0.00;;;;1
604;"737";"10213";"B";"P";"THIERRY";12/3/2007 00:00:00;3;2.00;3;5.69;"F";"O Dsv";"N";"4 Foetus";;;"4";;;;"O";2.00;;"E";4;3
605;"499";"10213";"B";"T";"BAZIN";13/3/2007 00:00:00;3;2.00;3;6.00;"M";;;;;;;;;;"O";2.00;;;;3
606;"523";"10213";"B";"T";"DOSSOT";13/3/2007 00:00:00;3;2.00;3;5.15;"F";"O Dsv";"N";"3 Foetus";;;"3";;;;"O";0.00;;"E";3;1
607;"519";"10438";"B";"T";"DOSSOT";14/3/2007 00:00:00;3;2.00;3;5.50;"F";"O";"N";;"x";;;;;;"N";;;"O";;
608;"732";"10418";"S";"P";"VIREY";17/3/2007 00:00:00;3;2.00;3;5.09;"F";"O";"N";;;;;;"6";;"O";1.00;;"CP";6;2
609;"753";"10418";"S";"P";"VIREY";18/3/2007 00:00:00;3;2.00;3;7.09;"M";;;;;;;;;;"O";0.00;;;;1
610;"731";"10205";"B";"D";"MAREY";19/3/2007 00:00:00;3;2.00;3;5.69;"F";"O";"O";;;;;;"5";"1";"O";2.00;;"CP";5;3
611;"497";"10438";"B";"T";"CHASTRAGNAT";20/3/2007 00:00:00;3;2.00;3;5.25;"M";;;;;;;;;;"O";0.00;;;;1
612;"729";"10399";"S";"P";"SOTTAS";20/3/2007 00:00:00;3;2.00;3;6.50;"M";;;;;;;;;;"O";0.00;;;;1
613;"730";"10252";"B";"P";"CAILLE";20/3/2007 00:00:00;3;2.00;3;4.59;"F";"O";"O";;;;;;"5";;"O";1.00;;"CP";5;2
614;"725";"10427";"B";"P";"COURTOT";21/3/2007 00:00:00;3;2.00;3;5.84;"M";;;;;;;;;;"O";0.00;;;;1
615;"726";"10438";"B";"D";"MAREY";21/3/2007 00:00:00;3;2.00;3;5.80;"F";"O Dsv";"N";"4 Foetus";;;"4";;;;"O";1.00;;"E";4;2
616;"728";"10097";"B";"P";"BILLIOUT";21/3/2007 00:00:00;3;2.00;3;6.69;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";7.00;;"E";5;8
617;"648";"10438";"B";"T";"ROUSSELET";22/3/2007 00:00:00;3;2.00;3;5.65;"M";;;;;;;;;;"O";2.00;;;;3
618;"724";"10069";"B";"P";"PICART";22/3/2007 00:00:00;3;2.00;3;5.50;"M";;;;;;;;;;"O";0.00;;;;1
619;"727";"10401";"B";"V";"BILLIOUT";22/3/2007 00:00:00;3;2.00;3;5.09;"NI";"N";;;;;;;;;"N";;;;;
620;"720";"10097";"B";"P";"BILLIOUT";23/3/2007 00:00:00;3;2.00;3;6.05;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";3.00;;"E";5;4
621;"721";"10432";"S";"P";"THOMAS";23/3/2007 00:00:00;3;2.00;3;7.59;"M";;;;;;;;;;"O";2.00;;;;3
622;"723";"10427";"B";"V";"BILLIOUT";24/3/2007 00:00:00;3;2.00;3;3.90;"F";"O";"N";;;;;;"4";;"O";0.00;;"CP";4;1
623;"722";"10358";"S";"P";"BERTOLO";25/3/2007 00:00:00;3;2.00;3;6.55;"M";;;;;;;;;;"O";1.00;;;;2
624;"779";"10399";"S";"P";"SOTTAS";26/3/2007 00:00:00;3;2.00;3;4.94;"F";"O";"O";;;;;;"4";;"O";3.00;;"CP";4;4
625;"511";"10438";"B";"T";"DOSSOT";29/3/2007 00:00:00;3;2.00;3;5.15;"F";"O";"N";;"x";;;;;"1";"O";0.00;;"O";;1
626;"641";"10376";"B";"T";"PLOUVIEZ";29/3/2007 00:00:00;3;2.00;3;5.84;"M";;;;;;;;;;"O";0.00;;;;1
627;"743";"10331";"S";"P";"JOUOT";29/3/2007 00:00:00;3;2.00;3;5.69;"F";"O";"N";;;;;;"5";;"O";2.00;;"CP";5;3
628;"639";"10438";"B";"T";"PLOUVIEZ";30/3/2007 00:00:00;3;2.00;3;6.50;"M";;;;;;;;;;"O";0.00;;;;1
629;"752";"10310";"B";"P";"GOBIN";2/4/2007 00:00:00;4;2.00;3;5.19;"F";"O";"O";;;;;;"6";;"O";3.00;;"CP";6;3
630;"778";"10376";"B";"P";"CHARDIN";3/4/2007 00:00:00;4;2.00;3;6.34;"M";;;;;;;;;;"O";2.00;;;;2
631;"647";"10438";"B";"T";"ROUSSELET";5/4/2007 00:00:00;4;2.00;3;4.90;"F";"O";"O";;;;;;"3";;"O";4.00;;"CP";3;4
632;"673";"10438";"B";"T";"ROUSSELET";5/4/2007 00:00:00;4;2.00;3;4.09;"F";"N";"N";;;;;;;;"O";5.00;;;;5
633;"774";"10055";"B";"P";"FAUCHE";5/4/2007 00:00:00;4;2.00;3;4.19;"M";;;;;;;;;;"O";1.00;;;;1
634;"776";"10418";"S";"P";"VIREY";5/4/2007 00:00:00;4;2.00;3;6.55;"M";;;;;;;;;;"O";2.00;;;;2
635;"777";"10055";"B";"P";"FAUCHE";5/4/2007 00:00:00;4;2.00;3;4.19;"F";"O";"O";;;;;;"4";;"O";2.00;;"CP";4;2
636;"775";"10310";"B";"P";"GOBIN";6/4/2007 00:00:00;4;2.00;3;4.19;"F";"O";"N";;;;;;"3";;"O";1.00;;"CP";3;1
637;"769";"10358";"S";"P";"BERTOLO";8/4/2007 00:00:00;4;2.00;3;5.50;"M";;;;;;;;;;"O";1.00;;;;1
638;"770";"10069";"B";"P";"PICART";8/4/2007 00:00:00;4;2.00;3;4.15;"F";"O";"O";;;;;;"3";;"O";1.00;;"CP";3;1
639;"771";"10438";"B";"P";"BILLIOUT";8/4/2007 00:00:00;4;2.00;3;3.84;"F";"O";"O";;;;;;"5";;"O";2.00;;"CP";5;2
640;"748";"10181";"S";"D";"MAREY";9/4/2007 00:00:00;4;2.00;3;6.30;"M";;;;;;;;;;"O";1.00;;;;1
641;"772";"10181";"S";"D";"MAREY";9/4/2007 00:00:00;4;2.00;3;5.75;"F";"O";"O";;;;;;"7";;"O";4.00;;"CP";7;4
642;"773";"10181";"S";"D";"MAREY";9/4/2007 00:00:00;4;2.00;3;6.00;"F";"O";"O";;;;;;"5";;"N";;;"CP";5;
643;"520";"10401";"B";"T";"CHASTRAGNAT";10/4/2007 00:00:00;4;2.00;3;6.34;"M";;;;;;;;;;"O";4.00;;;;4
644;"521";"10401";"B";"T";"CHASTRAGNAT";10/4/2007 00:00:00;4;2.00;3;4.44;"F";"O";"N";;"x";;;;;;"O";3.00;;"O";;3
645;"761";"10232";"B";"P";"BENCHAABANE";11/4/2007 00:00:00;4;2.00;3;5.34;"M";;;;;;;;;;"O";2.00;;;;2
646;"636";"10215";"B";"T";"ROUSSELET";12/4/2007 00:00:00;4;2.00;3;6.00;"M";;;;;;;;;;"O";3.00;;;;3
647;"758";"10331";"S";"P";"JOUOT";12/4/2007 00:00:00;4;2.00;3;4.90;"F";"O";"N";;;;;;"2";;"O";2.00;;"CP";2;2
648;"760";"10438";"B";"P";"BILLIOUT";12/4/2007 00:00:00;4;2.00;3;6.30;"F";"O";"N";;;;;;"4";;"O";1.00;;"CP";4;1
649;"768";"10401";"B";"T";"BERGERAT";12/4/2007 00:00:00;4;2.00;3;4.05;"M";;;;;;;;;;"O";3.00;;;;3
650;"749";"10034";"B";"D";"MAREY";15/4/2007 00:00:00;4;2.00;3;4.25;"F";"O";"O";;;;;;"6";;"O";1.00;;"CP";6;1
651;"750";"10034";"B";"D";"MAREY";15/4/2007 00:00:00;4;2.00;3;4.59;"F";"O";"N";;;;;;"6";;"O";3.00;"MACHOIRE CASSEE";"CP";6;3
652;"751";"10069";"B";"P";"PICART";15/4/2007 00:00:00;4;2.00;3;5.40;"M";;;;;;;;;;"O";8.00;"MACHOIRE CASSEE";;;8
653;"759";"10418";"S";"P";"VIREY";17/4/2007 00:00:00;4;2.00;3;5.05;"F";"O";"O";;;;;;"7";;"O";3.00;;"CP";7;3
654;"498";"10213";"B";"T";"DOSSOT";18/4/2007 00:00:00;4;2.00;3;4.55;"F";"O";;;;;;;"6";;"O";4.00;;"CP";6;4
655;"504";"10376";"B";"T";"DOSSOT";18/4/2007 00:00:00;4;2.00;3;5.69;"M";;"N";;;;;;;;"O";1.00;;;;1
656;"510";"10376";"B";"T";"DOSSOT";18/4/2007 00:00:00;4;2.00;3;5.75;"M";;;;;;;;;;"O";3.00;;;;3
657;"762";"10055";"B";"P";"FAUCHE";19/4/2007 00:00:00;4;2.00;3;5.80;"F";"O";"O";;;;;;"4";;"O";3.00;;"CP";4;3
658;"763";"10181";"S";"G";"LASSAIGNES";19/4/2007 00:00:00;4;2.00;3;4.69;"F";"O";"O";;;;;;"5";;"O";5.00;;"CP";5;5
659;"764";"10034";"S";"P";"SEURAT";19/4/2007 00:00:00;4;2.00;3;5.50;"M";;;;;;;;;;"O";1.00;;;;1
660;"765";"10310";"B";"P";"GOBIN";20/4/2007 00:00:00;4;2.00;3;6.75;"M";;;;;;;;;;"N";;;;;
661;"780";"10438";"B";"T";"ROUSSET";20/4/2007 00:00:00;4;2.00;3;3.90;"F";"O";"N";;"x";;;;;"4";"O";1.00;;"O";;1
662;"767";"10232";"B";"P";"BENCHAABANE";23/4/2007 00:00:00;4;2.00;3;5.09;"M";;;;;;;;;;"O";4.00;;;;4
663;"810";"10418";"S";"P";"VIREY";23/4/2007 00:00:00;4;2.00;3;4.50;"M";;;;;;;;;;"O";1.00;;;;1
664;"809";"10438";"B";"P";"BILLIOUT";27/4/2007 00:00:00;4;2.00;3;4.34;"F";"O";"O";;;;;;"6";;"O";2.00;;"CP";6;2
665;"811";"10401";"B";"P";"GERARD";27/4/2007 00:00:00;4;2.00;3;5.00;"F";"O";"O";;;;;;"2";"1";"O";1.00;;"CP";2;1
666;"812";"10097";"B";"P";"BILLIOUT";1/5/2007 00:00:00;5;2.00;3;4.34;"M";;;;;;;;;;"O";3.00;;;;3
667;"818";"10310";"B";"P";"GOBIN";2/5/2007 00:00:00;5;2.00;3;5.00;"M";;;;;;;;;;"O";2.00;;;;2
668;"820";"10401";"B";"P";"GERARD";5/5/2007 00:00:00;5;2.00;3;4.50;"M";;;;;;;;;;"O";1.00;;;;1
669;"816";"10009";"S";"P";"DECHANNES";10/5/2007 00:00:00;5;2.00;3;4.00;"NI";"N";;;;;;;;;"O";3.00;;;;3
670;"817";"10034";"S";"V";"SEURAT";13/5/2007 00:00:00;5;2.00;3;3.59;"M";;;;;;;;;;"O";1.00;;;;1
671;"813";"10159";"B";"P";"BILLIOUT";14/5/2007 00:00:00;5;2.00;3;5.09;"M";;;;;;;;;;"O";3.00;;;;3
672;"814";"10009";"S";"P";"DECHANNES";16/5/2007 00:00:00;5;2.00;3;5.00;"M";;;;;;;;;;"O";3.00;;;;3
673;"822";"10232";"B";"P";"BENCHAABANE";20/5/2007 00:00:00;5;2.00;3;3.00;"F";"O";"N";;;;;;"4";;"O";1.00;;"CP";4;1
674;"823";"10055";"B";"G";"RIVIERE";20/5/2007 00:00:00;5;2.00;3;4.50;"F";"O";"O";;;;;;"4";;"O";4.00;;"CP";4;4
